Hospital Name,State,County,Year,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach,Total Surgeries for All Cancer Types,National Cancer Institute Designation?
Tyrone Regional Health,PA,Blair,2018,0,0,24,1,0,0,0,0,0,0,0,25,No
UPMC Altoona,PA,Blair,2018,5,2,68,39,0,0,17,0,21,5,2,159,No
Robert Packer,PA,Bradford,2018,4,4,124,46,7,3,44,5,44,15,5,301,No
Troy Community,PA,Bradford,2018,0,0,0,2,0,0,0,0,0,0,0,2,No
Doylestown,PA,Bucks,2018,33,0,89,25,0,0,9,0,32,7,3,198,No
Grand View,PA,Bucks,2018,0,0,103,19,3,1,15,1,0,1,0,143,No
Lower Bucks,PA,Bucks,2018,1,0,2,1,0,0,0,0,0,0,0,4,No
St Luke's Quakertown,PA,Bucks,2018,1,0,8,6,0,0,0,0,1,0,0,16,No
St Mary MC,PA,Bucks,2018,13,6,168,42,0,0,19,0,53,9,0,310,No
Butler Memorial,PA,Butler,2018,7,2,59,31,0,0,26,0,31,0,0,156,No
Conemaugh Memorial,PA,Cambria,2018,17,11,81,41,0,2,22,1,26,15,1,217,No
Blue Mountain,PA,Carbon,2018,0,0,9,6,1,0,0,0,0,0,0,16,No
Mount Nittany,PA,Centre,2018,7,0,74,26,1,0,39,0,28,3,1,179,No
Brandywine,PA,Chester,2018,3,0,21,10,0,0,2,0,3,3,0,42,No
Chester County,PA,Chester,2018,14,0,253,38,0,1,1,0,37,1,0,345,No
Jennersville,PA,Chester,2018,0,0,15,8,0,0,0,0,0,0,1,24,No
Paoli,PA,Chester,2018,7,2,155,33,0,0,25,0,55,2,0,279,No
Phoenixville,PA,Chester,2018,2,1,112,19,0,0,11,0,32,1,1,179,No
Clarion,PA,Clarion,2018,1,0,11,13,0,0,0,0,0,1,0,26,No
Penn Highlands Clearfield,PA,Clearfield,2018,0,0,8,3,0,0,0,0,0,0,0,11,No
Penn Highlands DuBois,PA,Clearfield,2018,2,0,99,32,1,2,40,0,9,3,1,189,No
Lock Haven,PA,Clinton,2018,0,0,0,0,0,0,0,0,2,0,0,2,No
Berwick,PA,Columbia,2018,1,0,8,1,0,0,0,0,0,0,0,10,No
Geisinger Bloomsburg,PA,Columbia,2018,0,0,24,4,0,0,0,0,0,0,0,28,No
Meadville,PA,Crawford,2018,1,0,18,3,0,0,0,0,0,1,0,23,No
Titusville Area,PA,Crawford,2018,0,0,0,7,0,0,0,0,0,0,0,7,No
Holy Spirit,PA,Cumberland,2018,4,5,162,19,1,0,6,0,17,0,2,216,No
UPMC Pinnacle Carlisle,PA,Cumberland,2018,3,0,11,10,0,0,0,0,4,0,0,28,No
Milton S Hershey,PA,Dauphin,2018,32,48,248,71,12,5,36,18,83,34,14,601,No
UPMC Pinnacle Hospitals,PA,Dauphin,2018,27,0,331,115,2,2,34,3,78,20,1,613,No
Crozer-Chester,PA,Delaware,2018,4,8,107,29,0,2,6,5,20,9,0,190,No
Delaware County Memorial,PA,Delaware,2018,1,0,58,6,0,0,4,0,0,4,1,74,No
Mercy Fitzgerald,PA,Delaware,2018,1,1,12,20,1,0,9,1,1,1,1,48,No
Riddle Memorial,PA,Delaware,2018,8,0,90,28,0,0,0,0,2,5,0,133,No
Taylor Crozer,PA,Delaware,2018,2,0,1,8,0,0,0,0,1,0,0,12,No
Penn Highlands Elk,PA,Elk,2018,0,0,3,1,0,0,0,0,1,0,0,5,No
Millcreek Community,PA,Erie,2018,1,0,2,8,0,0,0,0,0,1,0,12,No
Saint Vincent,PA,Erie,2018,11,6,93,49,0,2,24,1,26,16,3,231,No
UPMC Hamot,PA,Erie,2018,7,14,152,40,0,1,31,0,43,10,1,299,No
Highlands,PA,Fayette,2018,0,0,0,2,0,0,0,0,0,0,0,2,No
Uniontown,PA,Fayette,2018,1,0,75,26,1,0,3,0,2,4,0,112,No
Chambersburg,PA,Franklin,2018,2,0,51,30,0,0,3,0,19,5,0,110,No
Waynesboro,PA,Franklin,2018,0,0,49,4,0,0,0,0,0,1,0,54,No
JC Blair Memorial,PA,Huntingdon,2018,0,0,9,10,0,0,0,0,0,0,0,19,No
Indiana Regional,PA,Indiana,2018,4,0,45,17,0,0,0,0,0,4,0,70,No
Penn Highlands Brookville,PA,Jefferson,2018,0,0,1,1,0,0,0,0,0,0,0,2,No
Punxsutawney Area,PA,Jefferson,2018,0,0,6,5,0,0,0,0,1,1,0,13,No
Geisinger Community,PA,Lackawanna,2018,2,12,102,28,0,0,30,0,2,19,0,195,No
Moses Taylor,PA,Lackawanna,2018,1,0,70,12,0,0,0,0,2,3,0,88,No
Regional Scranton,PA,Lackawanna,2018,15,0,31,12,0,0,30,0,41,2,0,131,No
Ephrata Community,PA,Lancaster,2018,3,0,54,15,0,0,11,0,1,0,0,84,No
Lancaster General,PA,Lancaster,2018,40,18,411,103,1,0,42,0,111,34,2,762,No
UPMC Pinnacle Lancaster,PA,Lancaster,2018,5,2,6,7,1,0,10,4,18,4,3,60,No
UPMC Pinnacle Lititz,PA,Lancaster,2018,2,0,54,5,0,0,0,0,0,0,0,61,No
Ellwood City,PA,Lawrence,2018,0,0,3,0,0,0,0,0,0,0,0,3,No
UPMC Jameson,PA,Lawrence,2018,3,0,35,21,0,0,3,0,4,0,0,66,No
WellSpan Good Samaritan,PA,Lebanon,2018,1,0,72,12,0,0,4,0,2,2,0,93,No
Lehigh Valley Allentown,PA,Lehigh,2018,27,43,203,118,12,32,56,34,58,29,13,625,No
St Luke's Bethlehem,PA,Lehigh,2018,19,28,114,96,12,7,73,21,113,26,11,520,No
St Luke's Sacred Heart,PA,Lehigh,2018,0,0,18,3,0,0,1,0,0,0,0,22,No
Surgical Spec Coordinated,PA,Lehigh,2018,0,0,24,0,0,0,0,0,0,0,0,24,No
Geisinger Wyoming Valley,PA,Luzerne,2018,6,29,99,41,13,13,27,8,32,9,6,283,No
Lehigh Valley Hazleton,PA,Luzerne,2018,1,0,16,15,1,0,1,1,0,3,0,38,No
Wilkes-Barre General,PA,Luzerne,2018,9,3,71,50,0,1,19,0,27,14,3,197,No
Geisinger Jersey Shore,PA,Lycoming,2018,0,0,0,3,0,0,0,0,0,0,0,3,No
Williamsport Regional,PA,Lycoming,2018,12,7,82,20,0,0,12,0,26,4,0,163,No
Bradford Regional,PA,McKean,2018,0,0,21,5,0,0,0,0,0,0,1,27,No
UPMC Kane,PA,McKean,2018,0,0,2,0,0,0,0,0,0,0,0,2,No
Grove City,PA,Mercer,2018,0,0,0,7,0,0,0,0,0,0,0,7,No
Sharon Regional,PA,Mercer,2018,2,0,12,20,0,0,1,0,0,0,2,37,No
UPMC Horizon,PA,Mercer,2018,3,0,69,6,0,0,0,0,2,0,0,80,No
Geisinger Lewistown,PA,Mifflin,2018,0,0,34,14,0,0,0,0,0,0,0,48,No
Lehigh Valley Pocono,PA,Monroe,2018,0,0,2,24,0,0,18,0,5,1,3,53,No
St Luke's Monroe,PA,Monroe,2018,1,0,1,6,0,0,0,0,1,0,0,9,No
Abington Memorial,PA,Montgomery,2018,6,19,146,82,6,3,49,8,47,24,6,396,No
Bryn Mawr,PA,Montgomery,2018,22,3,155,32,0,1,25,0,115,10,3,366,No
Einstein MC Montgomery,PA,Montgomery,2018,5,0,89,17,0,0,10,0,18,0,0,139,No
Holy Redeemer,PA,Montgomery,2018,3,0,188,22,0,0,4,0,1,2,0,220,No
Lankenau MC,PA,Montgomery,2018,4,13,253,65,8,15,33,9,13,48,12,473,No
Lansdale,PA,Montgomery,2018,1,0,67,11,0,0,0,0,0,0,0,79,No
Pottstown,PA,Montgomery,2018,4,2,4,8,0,0,0,0,0,0,0,18,No
Suburban Community,PA,Montgomery,2018,4,0,0,10,0,0,1,0,9,1,0,25,No
Geisinger Danville,PA,Montour,2018,23,43,166,80,12,5,47,24,42,46,4,492,No
Coordinated Health Ortho,PA,Northampton,2018,1,0,1,0,0,0,0,0,5,0,0,7,No
Easton,PA,Northampton,2018,4,0,31,17,1,0,5,1,0,4,3,66,No
St Luke's Anderson,PA,Northampton,2018,8,0,217,5,0,0,0,0,0,0,0,230,No
Sunbury Community,PA,Northumberland,2018,1,0,0,4,0,0,0,0,1,0,0,6,No
Albert Einstein,PA,Philadelphia,2018,8,10,168,36,2,5,16,5,33,4,2,289,No
Chestnut Hill,PA,Philadelphia,2018,3,0,52,8,0,0,0,0,6,3,0,72,No
Eastern Regional,PA,Philadelphia,2018,4,0,94,6,2,3,27,1,18,10,2,167,No
Hahnemann University,PA,Philadelphia,2018,5,7,55,21,5,12,8,5,17,3,4,142,No
Hospital Fox Chase Cancer,PA,Philadelphia,2018,128,0,511,55,23,65,144,17,258,31,11,"1,243",Yes
Hospital University PA,PA,Philadelphia,2018,65,246,601,117,43,100,233,69,215,61,47,"1,797",Yes
Jeanes,PA,Philadelphia,2018,2,25,9,16,0,0,0,0,0,3,0,55,No
Jefferson Health NE,PA,Philadelphia,2018,14,6,153,48,0,2,7,0,30,15,1,276,No
Mercy Philadelphia,PA,Philadelphia,2018,2,0,18,10,1,0,4,0,1,0,3,39,No
Methodist Division/TJUH,PA,Philadelphia,2018,1,0,21,18,0,0,0,0,6,8,2,56,No
Nazareth,PA,Philadelphia,2018,2,0,21,7,0,0,0,0,0,2,0,32,No
Penn Presbyterian,PA,Philadelphia,2018,2,8,0,36,3,1,100,0,313,9,8,480,No
Pennsylvania,PA,Philadelphia,2018,2,37,448,51,6,6,0,6,16,20,7,599,No
Roxborough Memorial,PA,Philadelphia,2018,2,0,1,1,0,0,1,0,0,0,0,5,No
Temple University,PA,Philadelphia,2018,14,28,107,36,6,13,61,4,128,16,8,421,No
Thomas Jefferson Univ,PA,Philadelphia,2018,39,141,251,66,28,25,92,114,94,17,24,891,Yes
UPMC Cole,PA,Potter,2018,0,0,6,3,0,0,0,0,0,0,0,9,No
Lehigh Valley Schuylkill,PA,Schuylkill,2018,0,0,5,2,0,0,0,0,1,0,0,8,No
St Luke's Miners,PA,Schuylkill,2018,2,0,6,1,0,0,0,0,0,0,0,9,No
Somerset,PA,Somerset,2018,0,0,8,9,0,0,0,0,0,3,0,20,No
Soon-Shiong MC Windber,PA,Somerset,2018,0,0,55,17,0,0,0,0,0,0,0,72,No
Barnes-Kasson County,PA,Susquehanna,2018,0,0,0,1,0,0,0,0,0,0,0,1,No
Soldiers & Sailors,PA,Tioga,2018,0,0,5,7,0,0,0,0,0,0,0,12,No
Evangelical Community,PA,Union,2018,0,0,76,14,0,0,0,0,0,1,0,91,No
UPMC Northwest,PA,Venango,2018,6,0,27,13,0,0,0,0,1,0,0,47,No
Warren General,PA,Warren,2018,0,0,21,5,0,0,0,0,0,0,0,26,No
Canonsburg,PA,Washington,2018,5,0,4,6,0,0,0,0,4,0,0,19,No
Monongahela Valley,PA,Washington,2018,4,0,55,11,0,0,3,0,2,3,2,80,No
Washington,PA,Washington,2018,2,0,57,36,2,0,27,0,30,2,1,157,No
Wayne Memorial,PA,Wayne,2018,0,0,23,10,0,0,0,0,0,1,0,34,No
Excela Health Latrobe,PA,Westmoreland,2018,3,0,76,27,0,0,2,0,18,1,1,128,No
Excela Hlth Westmoreland,PA,Westmoreland,2018,1,2,65,21,5,0,50,0,11,3,0,158,No
Frick,PA,Westmoreland,2018,1,0,8,4,0,0,0,0,1,0,0,14,No
Tyler Memorial,PA,Wyoming,2018,0,0,3,2,0,0,0,0,0,0,0,5,No
UPMC Pinnacle Hanover,PA,York,2018,1,0,66,20,0,0,0,0,0,2,0,89,No
UPMC Pinnacle Memorial,PA,York,2018,0,0,18,14,0,0,0,0,0,2,0,34,No
York,PA,York,2018,5,19,104,79,15,5,91,12,4,20,6,360,No
AHMC Anaheim Regional Medical Center,CA,Orange,2013,0,1,105,29,1,0,23,0,3,3,3,168,No
AHMC Anaheim Regional Medical Center,CA,Orange,2014,1,5,101,27,1,0,16,0,3,4,4,162,No
AHMC Anaheim Regional Medical Center,CA,Orange,2015,2,0,104,23,1,0,16,0,6,1,4,157,No
AHMC Anaheim Regional Medical Center,CA,Orange,2016,0,0,123,23,2,0,20,0,3,8,2,181,No
AHMC Anaheim Regional Medical Center,CA,Orange,2017,1,3,97,35,0,0,11,0,8,1,1,157,No
Adventist Medical Center,CA,Kings,2013,1,0,53,22,0,2,2,0,7,6,1,94,No
Adventist Medical Center,CA,Kings,2014,0,0,72,21,0,1,1,0,10,7,3,115,No
Adventist Medical Center,CA,Kings,2015,3,0,33,17,0,0,2,0,0,6,0,61,No
Adventist Medical Center,CA,Kings,2016,0,0,16,20,3,0,2,1,4,12,0,58,No
Adventist Medical Center,CA,Kings,2017,0,0,40,14,1,0,1,0,1,9,1,67,No
Alameda Hospital,CA,Alameda,2013,0,0,2,3,0,0,0,0,0,0,1,6,No
Alameda Hospital,CA,Alameda,2014,0,0,3,2,0,0,0,0,0,1,0,6,No
Alameda Hospital,CA,Alameda,2015,0,0,3,4,0,0,0,0,0,1,0,8,No
Alameda Hospital,CA,Alameda,2016,0,0,2,4,0,0,0,0,0,2,0,8,No
Alameda Hospital,CA,Alameda,2017,0,0,2,1,0,0,0,0,0,2,0,5,No
Alhambra Hospital Medical Center,CA,Los Angeles,2013,0,0,25,39,1,2,1,0,0,6,10,84,No
Alhambra Hospital Medical Center,CA,Los Angeles,2014,0,0,13,40,0,1,19,0,0,11,5,89,No
Alhambra Hospital Medical Center,CA,Los Angeles,2015,0,0,14,32,0,0,16,0,0,5,11,78,No
Alhambra Hospital Medical Center,CA,Los Angeles,2016,0,0,5,51,1,1,18,0,0,10,5,91,No
Alhambra Hospital Medical Center,CA,Los Angeles,2017,0,0,17,31,0,1,9,0,1,13,10,82,No
Alta Bates Summit Medical Center,CA,Alameda,2015,0,0,215,49,1,9,12,2,15,7,9,319,No
Alta Bates Summit Medical Center,CA,Alameda,2016,2,0,292,88,2,13,26,6,11,25,17,482,No
Alta Bates Summit Medical Center,CA,Alameda,2017,0,0,303,69,6,7,23,6,25,28,15,482,No
Alta Bates Summit Medical Center – Alta Bates Campus,CA,Alameda,2013,0,8,95,12,1,0,6,0,4,2,0,128,No
Alta Bates Summit Medical Center – Alta Bates Campus,CA,Alameda,2014,0,7,80,12,0,0,4,1,3,2,2,111,No
Alta Bates Summit Medical Center – Alta Bates Campus,CA,Alameda,2015,0,3,73,8,0,1,3,1,3,0,2,94,No
Alta Bates Summit Medical Center – Alta Bates Campus,CA,Alameda,2016,0,10,74,15,0,0,0,1,3,2,1,106,No
Alta Bates Summit Medical Center – Alta Bates Campus,CA,Alameda,2017,0,7,75,9,0,2,0,2,3,1,3,102,No
Alta Bates Summit Medical Center – Summit Campus – Hawthorne,CA,Alameda,2013,0,0,208,43,2,7,22,10,19,14,11,336,No
Alta Bates Summit Medical Center – Summit Campus – Hawthorne,CA,Alameda,2014,0,0,311,60,0,7,15,6,24,13,9,445,No
Alvarado Hospital,CA,San Diego,2013,1,1,23,13,0,0,5,0,5,1,1,50,No
Alvarado Hospital,CA,San Diego,2014,1,5,16,10,0,0,7,0,10,1,0,50,No
Alvarado Hospital,CA,San Diego,2015,0,0,7,9,0,0,2,0,6,2,3,29,No
Alvarado Hospital,CA,San Diego,2016,0,3,13,9,0,1,5,0,4,7,0,42,No
Alvarado Hospital,CA,San Diego,2017,0,1,12,6,1,0,3,0,1,1,0,25,No
Anaheim General Hospital,CA,Orange,2013,0,0,2,0,0,0,0,0,0,0,0,2,No
Anaheim Global Medical Center,CA,Orange,2015,0,0,0,2,0,0,0,0,0,0,0,2,No
Anaheim Global Medical Center,CA,Orange,2016,0,0,3,1,0,0,1,0,0,0,0,5,No
Anaheim Global Medical Center,CA,Orange,2017,0,0,1,1,0,1,2,0,0,1,0,6,No
Antelope Valley Hospital,CA,Los Angeles,2013,1,8,122,62,0,0,10,1,38,12,3,257,No
Antelope Valley Hospital,CA,Los Angeles,2014,2,10,136,48,0,3,8,3,23,12,5,250,No
Antelope Valley Hospital,CA,Los Angeles,2015,1,8,110,36,0,3,6,1,20,11,7,203,No
Antelope Valley Hospital,CA,Los Angeles,2016,0,17,111,45,0,6,7,3,14,12,8,223,No
Antelope Valley Hospital,CA,Los Angeles,2017,0,22,118,29,0,3,7,5,32,10,5,231,No
Arrowhead Regional Medical Center,CA,San Bernardino,2013,4,18,86,19,1,3,6,2,13,7,2,161,No
Arrowhead Regional Medical Center,CA,San Bernardino,2014,0,9,29,24,1,5,3,1,7,10,1,90,No
Arrowhead Regional Medical Center,CA,San Bernardino,2015,1,5,19,5,1,1,0,0,3,2,1,38,No
Arrowhead Regional Medical Center,CA,San Bernardino,2016,1,10,31,17,1,1,2,2,4,16,2,87,No
Arrowhead Regional Medical Center,CA,San Bernardino,2017,2,28,30,15,0,2,4,2,7,11,4,105,No
Bakersfield Heart Hospital,CA,Kern,2013,0,0,2,4,0,0,0,0,0,0,1,7,No
Bakersfield Heart Hospital,CA,Kern,2014,0,0,3,7,0,0,1,0,0,0,0,11,No
Bakersfield Heart Hospital,CA,Kern,2015,0,0,1,9,0,0,0,0,0,1,2,13,No
Bakersfield Heart Hospital,CA,Kern,2016,0,0,2,6,0,0,0,0,1,0,0,9,No
Bakersfield Heart Hospital,CA,Kern,2017,0,0,4,5,0,0,0,0,0,0,1,10,No
Bakersfield Memorial Hospital,CA,Kern,2013,1,15,61,34,0,0,26,0,5,8,5,155,No
Bakersfield Memorial Hospital,CA,Kern,2014,1,15,57,37,0,0,14,0,3,10,3,140,No
Bakersfield Memorial Hospital,CA,Kern,2015,0,7,40,43,0,0,8,0,2,8,2,110,No
Bakersfield Memorial Hospital,CA,Kern,2016,2,16,60,45,0,3,16,1,8,14,2,167,No
Bakersfield Memorial Hospital,CA,Kern,2017,2,20,73,35,0,1,15,1,11,13,2,173,No
Banner Lassen Medical Center,CA,Lassen,2014,0,0,0,0,0,0,0,0,0,1,0,1,No
Banner Lassen Medical Center,CA,Lassen,2015,0,0,1,0,0,0,0,0,0,0,0,1,No
Banner Lassen Medical Center,CA,Lassen,2016,0,0,0,1,0,0,0,0,0,0,0,1,No
Barstow Community Hospital,CA,San Bernardino,2013,0,0,4,3,0,0,0,0,0,0,0,7,No
Barstow Community Hospital,CA,San Bernardino,2014,0,0,3,2,0,0,0,0,0,1,0,6,No
Barstow Community Hospital,CA,San Bernardino,2015,0,0,6,1,0,0,0,0,0,0,0,7,No
Barstow Community Hospital,CA,San Bernardino,2016,0,0,5,3,0,2,0,0,0,1,0,11,No
Barstow Community Hospital,CA,San Bernardino,2017,0,0,5,1,0,0,0,0,0,0,0,6,No
Barton Memorial Hospital,CA,El Dorado,2013,0,0,11,4,0,0,0,0,0,0,0,15,No
Barton Memorial Hospital,CA,El Dorado,2014,0,0,18,3,0,0,0,0,0,1,0,22,No
Barton Memorial Hospital,CA,El Dorado,2015,0,0,11,8,0,0,0,0,4,0,0,23,No
Barton Memorial Hospital,CA,El Dorado,2016,2,0,17,4,0,0,0,0,13,0,0,36,No
Barton Memorial Hospital,CA,El Dorado,2017,1,0,12,4,0,0,0,0,8,3,0,28,No
Bellflower Medical Center,CA,Los Angeles,2013,0,0,4,2,0,0,0,0,0,0,0,6,No
Beverly Hospital,CA,Los Angeles,2013,0,2,25,16,0,0,1,0,2,2,1,49,No
Beverly Hospital,CA,Los Angeles,2014,0,0,26,13,0,0,2,0,2,2,2,47,No
Beverly Hospital,CA,Los Angeles,2015,0,1,27,10,0,0,3,0,0,2,4,47,No
Beverly Hospital,CA,Los Angeles,2016,1,2,26,12,0,1,0,1,1,5,1,50,No
Beverly Hospital,CA,Los Angeles,2017,1,0,38,5,0,0,1,0,5,5,3,58,No
Biggs Gridley Memorial Hospital,CA,Butte,2013,0,0,0,2,0,0,0,0,0,0,0,2,No
Biggs Gridley Memorial Hospital,CA,Butte,2014,0,0,1,2,0,0,0,0,0,0,0,3,No
California Hospital Medical Center – Los Angeles,CA,Los Angeles,2013,0,4,71,10,0,0,1,2,3,8,4,103,No
California Hospital Medical Center – Los Angeles,CA,Los Angeles,2014,0,3,107,12,0,1,2,1,4,6,4,140,No
California Hospital Medical Center – Los Angeles,CA,Los Angeles,2015,0,1,89,17,0,0,2,0,0,4,1,114,No
California Hospital Medical Center – Los Angeles,CA,Los Angeles,2016,0,4,113,15,0,4,5,1,4,10,10,166,No
California Hospital Medical Center – Los Angeles,CA,Los Angeles,2017,1,7,66,19,1,3,1,3,1,8,5,115,No
California Pacific Medical Center – Davies Campus,CA,San Francisco,2013,0,21,50,3,0,0,0,0,0,0,0,74,No
California Pacific Medical Center – Davies Campus,CA,San Francisco,2014,0,16,51,2,0,0,0,0,0,0,0,69,No
California Pacific Medical Center – Davies Campus,CA,San Francisco,2015,0,13,40,0,0,0,0,0,0,0,0,53,No
California Pacific Medical Center – Davies Campus,CA,San Francisco,2016,0,24,59,1,0,0,0,0,2,0,0,86,No
California Pacific Medical Center – Davies Campus,CA,San Francisco,2017,0,23,55,0,0,0,0,0,0,0,0,78,No
California Pacific Medical Center – Pacific Campus,CA,San Francisco,2013,0,13,241,55,4,28,20,36,10,38,10,455,No
California Pacific Medical Center – Pacific Campus,CA,San Francisco,2014,0,9,289,64,8,32,28,57,4,41,11,543,No
California Pacific Medical Center – Pacific Campus,CA,San Francisco,2015,3,11,251,38,3,38,22,46,9,34,7,462,No
California Pacific Medical Center – Pacific Campus,CA,San Francisco,2016,1,17,361,66,11,72,22,63,5,53,16,687,No
California Pacific Medical Center – Pacific Campus,CA,San Francisco,2017,1,23,429,85,5,65,20,43,10,34,13,728,No
California Pacific Medical Center – St. Luke’s Campus,CA,San Francisco,2013,0,0,6,12,0,0,0,1,0,3,0,22,No
California Pacific Medical Center – St. Luke’s Campus,CA,San Francisco,2014,0,0,4,8,0,0,0,0,0,1,1,14,No
California Pacific Medical Center – St. Luke’s Campus,CA,San Francisco,2015,0,0,6,9,0,0,0,0,0,1,0,16,No
California Pacific Medical Center – St. Luke’s Campus,CA,San Francisco,2016,0,0,12,3,0,0,0,0,0,2,1,18,No
California Pacific Medical Center – St. Luke’s Campus,CA,San Francisco,2017,0,0,9,7,0,0,0,0,1,2,0,19,No
Casa Colina Hospital,CA,Los Angeles,2016,0,0,9,2,0,0,0,0,4,0,0,15,No
Casa Colina Hospital,CA,Los Angeles,2017,0,2,18,3,0,0,0,0,2,2,0,27,No
Cedars Sinai Medical Center,CA,Los Angeles,2013,28,121,652,109,23,43,205,49,176,36,16,1458,No
Cedars Sinai Medical Center,CA,Los Angeles,2014,21,119,662,131,11,58,198,34,152,59,30,1475,No
Cedars Sinai Medical Center,CA,Los Angeles,2015,14,103,492,86,13,26,142,32,144,37,14,1103,No
Cedars Sinai Medical Center,CA,Los Angeles,2016,22,157,706,132,12,53,79,56,197,55,23,1492,No
Cedars Sinai Medical Center,CA,Los Angeles,2017,22,168,755,129,14,64,86,49,158,74,28,1547,No
Centinela Hospital Medical Center,CA,Los Angeles,2013,0,6,14,16,0,0,7,0,0,1,3,47,No
Centinela Hospital Medical Center,CA,Los Angeles,2014,0,1,14,12,0,0,8,0,1,1,2,39,No
Centinela Hospital Medical Center,CA,Los Angeles,2015,0,1,14,16,0,0,4,0,2,0,1,38,No
Centinela Hospital Medical Center,CA,Los Angeles,2016,0,3,7,13,0,0,3,0,2,5,3,36,No
Centinela Hospital Medical Center,CA,Los Angeles,2017,0,4,6,13,0,1,2,0,0,1,2,29,No
Chapman Global Medical Center,CA,Orange,2015,0,0,0,0,0,0,0,0,0,0,1,1,No
Chapman Global Medical Center,CA,Orange,2016,0,0,0,1,0,0,0,0,0,1,0,2,No
Chapman Global Medical Center,CA,Orange,2017,0,0,0,0,0,0,0,0,0,1,0,1,No
Chapman Medical Center,CA,Orange,2013,0,0,0,1,0,0,0,0,0,0,0,1,No
Chapman Medical Center,CA,Orange,2014,0,0,1,1,0,0,0,0,0,2,0,4,No
Chinese Hospital,CA,San Francisco,2013,2,0,35,16,0,0,0,0,0,7,3,63,No
Chinese Hospital,CA,San Francisco,2014,1,0,23,24,0,2,0,1,1,6,8,66,No
Chinese Hospital,CA,San Francisco,2015,0,0,11,15,0,0,0,0,0,3,5,34,No
Chinese Hospital,CA,San Francisco,2016,0,0,4,18,0,1,0,1,0,9,6,39,No
Chinese Hospital,CA,San Francisco,2017,0,0,0,15,0,0,0,0,1,2,4,22,No
Chino Valley Medical Center,CA,San Bernardino,2013,0,0,1,2,0,0,0,0,0,1,0,4,No
Chino Valley Medical Center,CA,San Bernardino,2014,0,0,4,7,0,0,0,0,1,0,0,12,No
Chino Valley Medical Center,CA,San Bernardino,2015,0,0,9,5,0,0,0,0,0,1,0,15,No
Chino Valley Medical Center,CA,San Bernardino,2016,0,0,21,8,0,0,0,0,1,1,1,32,No
Chino Valley Medical Center,CA,San Bernardino,2017,0,0,16,6,0,0,0,0,0,3,2,27,No
Citrus Valley Medical Center – Inter Community Campus,CA,Los Angeles,2013,0,3,36,31,0,0,6,0,0,3,2,81,No
Citrus Valley Medical Center – Inter Community Campus,CA,Los Angeles,2014,0,3,52,11,0,0,10,0,0,3,0,79,No
Citrus Valley Medical Center – Inter Community Campus,CA,Los Angeles,2015,0,1,12,7,0,0,7,0,0,4,0,31,No
Citrus Valley Medical Center – Inter Community Campus,CA,Los Angeles,2016,1,1,24,15,0,0,10,0,0,5,1,57,No
