,Hospital.Name,State,County,Year,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach,Total.Surgeries.for.All.Cancer.Types,National.Cancer.Institute.Designation.
70,Crozer-Chester,PA,Delaware,2018,4,8,107,29,0,2,6,5,20,9,0,190,No
123,Good Samaritan Hospital Bakersfield,CA,Kern,2017,0,0,1,0,0,0,0,0,3,0,0,4,No
192,Kern Medical Center,CA,Kern,2018,0,5,25,5,0,1,0,1,23,4,1,65,No
73,Delaware County Memorial,PA,Delaware,2018,1,0,58,6,0,0,4,0,0,4,1,74,No
235,Mercy Hospital Bakersfield,CA,Kern,2018,2,4,63,19,0,2,0,0,17,17,1,125,No
317,Ridgecrest Regional Hospital,CA,Kern,2018,0,0,8,0,0,0,0,0,0,0,0,8,No
353,San Joaquin Community Hospital,CA,Kern,2018,0,14,200,49,0,2,3,2,40,16,5,331,No
3,Adventist Medical Center,CA,Kings,2018,0,0,34,26,1,0,1,0,5,6,1,74,No
331,Saint Helena Hospital Clearlake,CA,Lake,2018,0,0,1,1,0,0,0,0,0,0,0,2,No
412,Sutter Lakeside Hospital,CA,Lake,2018,0,0,0,6,0,2,0,0,0,3,0,11,No
80,Doylestown,PA,Bucks,2018,33,0,89,25,0,0,9,0,32,7,3,198,No
21,Banner Lassen Medical Center,CA,Lassen,2016,0,0,0,1,0,0,0,0,0,0,0,1,No
82,Eastern Regional,PA,Philadelphia,2018,4,0,94,6,2,3,27,1,18,10,2,167,No
83,Easton,PA,Northampton,2018,4,0,31,17,1,0,5,1,0,4,3,66,No
7,Alhambra Hospital Medical Center,CA,Los Angeles,2018,0,0,18,37,0,1,10,0,3,6,10,85,No
85,Einstein MC Montgomery,PA,Montgomery,2018,5,0,89,17,0,0,10,0,18,0,0,139,No
17,Antelope Valley Hospital,CA,Los Angeles,2018,0,20,163,39,0,6,3,4,27,8,3,273,No
27,Beverly Hospital,CA,Los Angeles,2018,0,2,29,16,0,0,1,0,4,6,4,62,No
89,Ellwood City,PA,Lawrence,2018,0,0,3,0,0,0,0,0,0,0,0,3,No
34,California Hospital Medical Center Los Angeles,CA,Los Angeles,2018,0,10,81,22,0,6,4,1,2,5,3,134,No
39,Casa Colina Hospital,CA,Los Angeles,2018,0,3,17,7,0,0,2,0,5,3,0,37,No
40,Cedars Sinai Medical Center,CA,Los Angeles,2018,23,158,652,145,16,39,103,47,86,74,25,1368,No
93,Ephrata Community,PA,Lancaster,2018,3,0,54,15,0,0,11,0,1,0,0,84,No
94,Evangelical Community,PA,Union,2018,0,0,76,14,0,0,0,0,0,1,0,91,No
95,Excela Health Latrobe,PA,Westmoreland,2018,3,0,76,27,0,0,2,0,18,1,1,128,No
96,Excela Hlth Westmoreland,PA,Westmoreland,2018,1,2,65,21,5,0,50,0,11,3,0,158,No
41,Centinela Hospital Medical Center,CA,Los Angeles,2018,0,1,4,9,0,0,1,0,1,11,1,28,No
49,Citrus Valley Medical Center Inter Community Campus,CA,Los Angeles,2018,0,0,25,13,0,0,2,0,1,3,1,45,No
50,Citrus Valley Medical Center Queen of the Valley Campus,CA,Los Angeles,2018,4,6,30,23,0,2,4,1,71,4,5,150,No
51,City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2018,43,106,549,78,18,96,68,26,187,50,24,1245,Yes
54,Coast Plaza Hospital,CA,Los Angeles,2018,0,0,3,3,0,0,0,0,0,2,0,8,No
102,Forbes,PA,Allegheny,2018,18,6,112,54,2,0,31,0,8,7,0,238,No
56,College Medical Center,CA,Los Angeles,2018,0,0,4,1,0,0,0,0,0,1,1,7,No
59,Community and Mission Hospital of Huntington Park Slauson,CA,Los Angeles,2018,0,0,1,3,0,0,0,0,1,3,1,9,No
60,Community Hospital Long Beach,CA,Los Angeles,2017,0,0,1,2,0,1,0,0,0,1,0,5,No
81,East Los Angeles Doctors Hospital,CA,Los Angeles,2018,0,0,1,0,0,0,0,0,0,1,0,2,No
91,Encino Hospital Medical Center,CA,Los Angeles,2018,0,0,0,2,0,0,0,0,0,0,0,2,No
108,Frick,PA,Westmoreland,2018,1,0,8,4,0,0,0,0,1,0,0,14,No
100,Foothill Presbyterian Hospital Johnston Memorial,CA,Los Angeles,2018,1,4,13,25,0,2,0,5,37,13,3,103,No
111,Garfield Medical Center,CA,Los Angeles,2018,1,13,146,40,0,3,18,3,40,16,8,288,No
112,Geisinger Bloomsburg,PA,Columbia,2018,0,0,24,4,0,0,0,0,0,0,0,28,No
113,Geisinger Community,PA,Lackawanna,2018,2,12,102,28,0,0,30,0,2,19,0,195,No
114,Geisinger Danville,PA,Montour,2018,23,43,166,80,12,5,47,24,42,46,4,492,No
115,Geisinger Jersey Shore,PA,Lycoming,2018,0,0,0,3,0,0,0,0,0,0,0,3,No
116,Geisinger Lewistown,PA,Mifflin,2018,0,0,34,14,0,0,0,0,0,0,0,48,No
117,Geisinger Wyoming Valley,PA,Luzerne,2018,6,29,99,41,13,13,27,8,32,9,6,283,No
119,Glendale Adventist Medical Center,CA,Los Angeles,2018,4,17,120,48,0,1,12,6,25,21,10,264,No
120,Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2018,2,0,24,32,0,1,12,0,1,28,0,100,No
121,Glendora Community Hospital,CA,Los Angeles,2018,0,0,1,2,0,0,0,0,0,0,0,3,No
124,Good Samaritan Hospital Los Angeles,CA,Los Angeles,2018,0,6,29,21,0,9,11,5,2,13,5,101,No
127,Greater El Monte Community Hospital,CA,Los Angeles,2018,0,0,2,0,0,0,0,0,1,2,1,6,No
134,Henry Mayo Newhall Hospital,CA,Los Angeles,2018,2,8,15,9,0,0,9,0,28,5,0,76,No
141,Hollywood Presbyterian Medical Center,CA,Los Angeles,2018,0,5,133,41,0,4,6,0,4,12,8,213,No
147,Huntington Memorial Hospital,CA,Los Angeles,2018,20,22,83,67,4,27,23,11,163,36,9,465,No
126,Grand View,PA,Bucks,2018,0,0,103,19,3,1,15,1,0,1,0,143,No
158,Kaiser Foundation Hospital Baldwin Park,CA,Los Angeles,2018,4,0,343,68,0,1,0,0,2,16,9,443,No
159,Kaiser Foundation Hospital Downey,CA,Los Angeles,2018,10,0,368,57,3,0,25,13,31,7,8,522,No
129,Grove City,PA,Mercer,2018,0,0,0,7,0,0,0,0,0,0,0,7,No
130,Hahnemann University,PA,Philadelphia,2018,5,7,55,21,5,12,8,5,17,3,4,142,No
169,Kaiser Foundation Hospital Panorama City,CA,Los Angeles,2018,0,0,229,56,2,5,64,8,94,14,10,482,No
182,Kaiser Foundation Hospital South Bay,CA,Los Angeles,2018,0,0,276,49,4,2,2,13,1,11,6,364,No
185,Kaiser Foundation Hospital Sunset,CA,Los Angeles,2018,23,100,265,62,7,81,49,20,74,36,16,733,No
188,Kaiser Foundation Hospital West Los Angeles,CA,Los Angeles,2018,7,0,269,50,0,6,35,11,143,25,4,550,No
135,Heritage Valley Beaver,PA,Beaver,2018,5,0,96,32,0,0,5,0,4,8,2,152,No
136,Heritage Valley Sewickley,PA,Allegheny,2018,6,0,40,17,1,0,1,0,5,1,0,71,No
189,Kaiser Foundation Hospital Woodland Hills,CA,Los Angeles,2018,7,0,324,45,0,4,0,1,6,23,9,419,No
191,Keck Hospital of University of Southern California,CA,Los Angeles,2018,137,60,97,61,23,79,44,39,182,86,15,823,No
139,Highlands,PA,Fayette,2018,0,0,0,2,0,0,0,0,0,0,0,2,No
194,Lakewood Regional Medical Center,CA,Los Angeles,2018,0,3,20,27,2,2,5,1,6,6,7,79,No
207,Memorialcare Long Beach Medical Center,CA,Los Angeles,2018,0,20,267,71,3,13,40,3,11,38,9,475,No
142,Holy Redeemer,PA,Montgomery,2018,3,0,188,22,0,0,4,0,1,2,0,220,No
143,Holy Spirit,PA,Cumberland,2018,4,5,162,19,1,0,6,0,17,0,2,216,No
144,Hospital Fox Chase Cancer,PA,Philadelphia,2018,128,0,511,55,23,65,144,17,258,31,11,1243,Yes
145,Hospital University PA,PA,Philadelphia,2018,65,246,601,117,43,100,233,69,215,61,47,1797,Yes
209,Los Angeles Community Hospital,CA,Los Angeles,2018,0,0,1,4,0,1,1,0,4,4,0,15,No
210,Los Angeles County/Harbor UCLA Medical Center,CA,Los Angeles,2018,1,15,104,25,2,5,7,1,16,15,9,200,No
148,Indiana Regional,PA,Indiana,2018,4,0,45,17,0,0,0,0,0,4,0,70,No
149,JC Blair Memorial,PA,Huntingdon,2018,0,0,9,10,0,0,0,0,0,0,0,19,No
150,Jeanes,PA,Philadelphia,2018,2,25,9,16,0,0,0,0,0,3,0,55,No
151,Jefferson,PA,Allegheny,2018,10,0,109,54,0,0,20,0,17,7,4,221,No
152,Jefferson Health NE,PA,Philadelphia,2018,14,6,153,48,0,2,7,0,30,15,1,276,No
153,Jennersville,PA,Chester,2018,0,0,15,8,0,0,0,0,0,0,1,24,No
211,Los Angeles County/Olive View UCLA Medical Center,CA,Los Angeles,2018,0,0,79,20,1,2,6,1,4,22,6,141,No
212,Los Angeles County/Rancho Los Amigos National Rehabilitation Center,CA,Los Angeles,2016,0,1,0,0,0,0,0,0,0,0,0,1,No
213,Los Angeles County/University of Southern California Medical Center,CA,Los Angeles,2018,7,36,106,49,4,15,14,9,19,30,5,294,No
223,Cedars-Sinai Marina Del Rey Hospital,CA,Los Angeles,2018,0,0,13,8,0,1,1,0,0,8,1,32,No
229,Memorial Hospital of Gardena,CA,Los Angeles,2018,0,0,8,7,0,1,0,0,0,1,0,17,No
245,Methodist Hospital of Southern California,CA,Los Angeles,2018,1,9,102,40,0,3,4,2,1,10,5,177,No
248,Mission Community Hospital Panorama Campus,CA,Los Angeles,2018,0,0,4,5,0,1,0,0,2,2,1,15,No
252,Monrovia Medical Center,CA,Los Angeles,2016,0,0,0,1,0,0,0,0,0,0,0,1,No
254,Monterey Park Hospital,CA,Los Angeles,2018,0,3,20,8,0,0,3,0,0,3,0,37,No
261,Northridge Hospital Medical Center,CA,Los Angeles,2018,0,7,27,21,1,2,14,4,6,3,2,87,No
262,Norwalk Community Hospital,CA,Los Angeles,2018,0,0,1,4,0,2,0,0,0,1,0,8,No
268,Olympia Medical Center,CA,Los Angeles,2018,1,0,22,2,0,0,0,0,4,3,1,33,No
272,Pacific Alliance Medical Center,CA,Los Angeles,2017,0,0,8,7,0,1,0,0,0,0,1,17,No
273,Pacifica Hospital of the Valley,CA,Los Angeles,2018,0,0,4,4,0,0,0,0,0,0,0,8,No
275,Palmdale Regional Medical Center,CA,Los Angeles,2018,0,3,2,28,0,0,1,2,18,13,0,67,No
291,PIH Hospital Downey,CA,Los Angeles,2018,0,6,41,14,0,1,4,1,1,3,2,73,No
296,Pomona Valley Hospital Medical Center,CA,Los Angeles,2018,0,26,158,41,1,0,5,0,16,9,4,260,No
298,PIH Health Hospital Whittier,CA,Los Angeles,2018,4,14,161,39,2,0,27,0,15,26,6,294,No
300,Promise Hospital of East Los Angeles Suburban Campus,CA,Los Angeles,2018,0,0,0,1,0,0,0,0,0,0,0,1,No
301,Providence Holy Cross Medical Center,CA,Los Angeles,2018,0,23,94,37,1,3,18,7,30,23,11,247,No
302,Providence Little Company of Mary Medical Center San Pedro,CA,Los Angeles,2018,0,0,14,6,0,0,1,0,0,3,0,24,No
303,Providence Little Company of Mary Medical Center Torrance,CA,Los Angeles,2018,0,22,213,57,0,6,3,2,35,19,6,363,No
304,Providence Saint Johnís Health Center,CA,Los Angeles,2018,8,75,196,52,0,19,112,6,98,17,2,585,No
305,Providence Saint Joseph Medical Center,CA,Los Angeles,2018,1,9,184,43,0,0,15,2,38,17,1,310,No
306,Providence Tarzana Medical Center,CA,Los Angeles,2018,3,4,140,43,0,4,7,2,37,26,0,266,No
322,Ronald Reagan UCLA Medical Center,CA,Los Angeles,2018,28,156,366,65,9,64,74,58,46,54,18,938,Yes
328,Saint Francis Medical Center,CA,Los Angeles,2018,0,4,44,16,1,1,4,0,8,6,3,87,No
341,Saint Mary Medical Center Long Beach,CA,Los Angeles,2018,0,1,19,7,0,0,0,0,2,4,0,33,No
345,Saint Vincent Medical Center,CA,Los Angeles,2018,2,7,74,30,0,9,19,9,10,19,15,194,No
349,San Dimas Community Hospital,CA,Los Angeles,2018,0,0,20,11,0,0,0,0,0,2,0,33,No
351,San Gabriel Valley Medical Center,CA,Los Angeles,2018,0,0,40,20,0,2,4,1,1,5,7,80,No
360,Santa Monica UCLA Medical Center and Orthopedic Hospital,CA,Los Angeles,2018,17,2,316,22,0,0,8,0,15,5,5,390,No
374,Sherman Oaks Hospital,CA,Los Angeles,2018,0,0,3,3,0,0,0,0,0,0,2,8,No
378,Silver Lake Medical Center Downtown Campus,CA,Los Angeles,2018,0,0,1,0,0,0,0,0,0,0,0,1,No
386,Southern California Hospital at Culver City,CA,Los Angeles,2018,2,0,26,9,0,0,0,0,7,4,2,50,No
388,Southern California Hospital at Hollywood,CA,Los Angeles,2018,0,0,0,3,0,0,0,0,5,0,0,8,No
428,Torrance Memorial Medical Center,CA,Los Angeles,2018,2,17,371,57,2,6,46,8,45,29,7,590,No
442,University of Southern California Verdugo Hills Hospital,CA,Los Angeles,2018,5,1,35,11,0,0,1,1,93,2,3,152,No
463,Valley Presbyterian Hospital,CA,Los Angeles,2018,0,2,115,28,0,5,1,2,2,11,8,174,No
195,Lancaster General,PA,Lancaster,2018,40,18,411,103,1,0,42,0,111,34,2,762,No
196,Lankenau MC,PA,Montgomery,2018,4,13,253,65,8,15,33,9,13,48,12,473,No
197,Lansdale,PA,Montgomery,2018,1,0,67,11,0,0,0,0,0,0,0,79,No
198,Lehigh Valley Allentown,PA,Lehigh,2018,27,43,203,118,12,32,56,34,58,29,13,625,No
199,Lehigh Valley Hazleton,PA,Luzerne,2018,1,0,16,15,1,0,1,1,0,3,0,38,No
200,Lehigh Valley Pocono,PA,Monroe,2018,0,0,2,24,0,0,18,0,5,1,3,53,No
201,Lehigh Valley Schuylkill,PA,Schuylkill,2018,0,0,5,2,0,0,0,0,1,0,0,8,No
202,Lock Haven,PA,Clinton,2018,0,0,0,0,0,0,0,0,2,0,0,2,No
477,West Hills Hospital and Medical Center,CA,Los Angeles,2018,0,10,53,18,0,0,3,1,1,3,0,89,No
481,White Memorial Medical Center,CA,Los Angeles,2018,0,18,103,37,0,0,2,1,7,12,5,185,No
482,Whittier Hospital Medical Center,CA,Los Angeles,2018,0,0,23,11,1,1,1,0,3,5,3,48,No
217,Madera Community Hospital,CA,Madera,2018,0,0,32,15,0,0,0,0,0,4,0,51,No
179,Kaiser Foundation Hospital San Rafael,CA,Marin,2018,4,0,164,35,0,0,0,0,1,5,1,210,No
222,Marin General Hospital,CA,Marin,2018,9,11,162,8,1,1,6,0,20,6,0,224,No
263,Novato Community Hospital,CA,Marin,2018,0,0,14,1,0,0,0,0,0,0,0,15,No
104,Adventist Health Howard Memorial,CA,Mendocino,2018,0,0,0,2,0,0,0,0,0,0,0,2,No
230,Mendocino Coast District Hospital,CA,Mendocino,2018,0,0,4,4,0,0,0,0,0,3,0,11,No
440,Ukiah Valley Medical Center,CA,Mendocino,2018,0,0,101,12,0,0,3,0,0,4,3,123,No
227,Memorial Hospital Los Banos,CA,Merced,2018,0,0,0,2,0,0,0,0,0,0,0,2,No
238,Mercy Medical Center Merced,CA,Merced,2018,0,0,26,13,0,0,0,0,0,4,0,43,No
215,Lower Bucks,PA,Bucks,2018,1,0,2,1,0,0,0,0,0,0,0,4,No
219,Mammoth Hospital,CA,Mono,2015,0,0,0,0,0,0,0,0,3,0,0,3,No
62,Community Hospital of The Monterey Peninsula,CA,Monterey,2018,0,14,55,35,5,3,11,5,6,11,3,148,No
218,Magee Womens UPMC,PA,Allegheny,2018,1,0,819,4,0,0,0,0,0,1,3,828,Yes
118,George L. Mee Memorial Hospital,CA,Monterey,2013,0,0,0,1,0,0,0,0,0,0,0,1,No
257,Natividad Medical Center,CA,Monterey,2018,0,1,7,7,0,0,0,0,0,2,0,17,No
346,Salinas Valley Memorial Hospital,CA,Monterey,2018,0,10,64,26,0,0,8,2,1,1,5,117,No
309,Queen of the Valley Medical Center,CA,Napa,2018,1,2,65,9,0,2,5,0,11,0,0,95,No
330,Saint Helena Hospital,CA,Napa,2018,0,0,26,12,0,0,21,0,1,6,0,66,No
375,Sierra Nevada Memorial Hospital,CA,Nevada,2018,0,0,93,13,0,0,0,0,0,6,0,112,No
421,Tahoe Forest Hospital,CA,Nevada,2018,0,0,1,2,0,0,0,0,0,1,0,4,No
226,Meadville,PA,Crawford,2018,1,0,18,3,0,0,0,0,0,1,0,23,No
4,AHMC Anaheim Regional Medical Center,CA,Orange,2018,2,2,89,27,3,0,19,2,6,5,6,161,No
16,Anaheim Global Medical Center,CA,Orange,2018,0,0,1,0,1,0,5,0,0,0,0,7,No
43,Chapman Global Medical Center,CA,Orange,2018,0,0,0,3,0,0,0,0,0,0,0,3,No
233,Mercy Fitzgerald,PA,Delaware,2018,1,1,12,20,1,0,9,1,1,1,1,48,No
101,Foothill Regional Medical Center,CA,Orange,2018,0,0,0,2,0,0,3,0,1,1,0,7,No
103,Fountain Valley Regional Hospital and Medical Center  Euclid,CA,Orange,2018,1,12,93,50,1,22,26,7,7,28,9,256,No
109,Garden Grove Hospital and Medical Center,CA,Orange,2018,0,0,5,5,0,0,0,0,0,0,1,11,No
140,Hoag Memorial Hospital Presbyterian,CA,Orange,2018,14,81,659,120,10,22,101,30,123,32,12,1204,No
146,Huntington Beach Hospital,CA,Orange,2018,0,0,0,2,0,0,0,0,0,0,1,3,No
168,Kaiser Foundation Hospital Orange County Anaheim,CA,Orange,2018,7,31,583,95,5,17,44,10,1,37,10,840,No
193,La Palma Intercommunity Hospital,CA,Orange,2018,0,0,0,5,0,0,0,0,0,0,0,5,No
241,Mercy Philadelphia,PA,Philadelphia,2018,2,0,18,10,1,0,4,0,1,0,3,39,No
208,Los Alamitos Medical Center,CA,Orange,2018,1,11,131,28,0,0,5,3,46,3,2,230,No
243,Methodist Division/TJUH,PA,Philadelphia,2018,1,0,21,18,0,0,0,0,6,8,2,56,No
249,Mission Hospital Laguna Beach,CA,Orange,2018,0,0,26,5,0,0,0,0,0,4,0,35,No
250,Mission Hospital Regional Medical Center,CA,Orange,2018,1,31,62,34,3,2,37,3,29,11,1,214,No
246,Millcreek Community,PA,Erie,2018,1,0,2,8,0,0,0,0,0,1,0,12,No
247,Milton S Hershey,PA,Dauphin,2018,32,48,248,71,12,5,36,18,83,34,14,601,No
269,Memorialcare Orange Coast Medical Center,CA,Orange,2018,2,10,152,49,0,37,11,15,16,30,9,331,No
270,Orange County Global Medical Center,CA,Orange,2018,0,4,27,5,0,1,2,0,0,0,2,41,No
293,Placentia Linda Hospital,CA,Orange,2018,0,0,37,9,0,1,0,0,3,4,1,55,No
251,Monongahela Valley,PA,Washington,2018,4,0,55,11,0,0,3,0,2,3,2,80,No
324,Memorialcare Saddleback Memorial Medical Center,CA,Orange,2018,3,16,177,35,0,1,24,0,45,6,4,311,No
336,Saint Joseph Hospital Orange,CA,Orange,2018,0,32,320,57,3,11,41,8,64,14,7,557,No
338,Saint Jude Medical Center,CA,Orange,2018,0,36,217,62,3,12,21,11,30,18,4,414,No
255,Moses Taylor,PA,Lackawanna,2018,1,0,70,12,0,0,0,0,2,3,0,88,No
256,Mount Nittany,PA,Centre,2018,7,0,74,26,1,0,39,0,28,3,1,179,No
385,South Coast Global Medical Center,CA,Orange,2018,0,0,9,3,0,0,0,1,0,2,1,16,No
258,Nazareth,PA,Philadelphia,2018,2,0,21,7,0,0,0,0,0,2,0,32,No
437,UC Irvine Medical Center,CA,Orange,2018,14,93,98,69,12,32,19,38,25,53,28,481,Yes
476,West Anaheim Medical Center,CA,Orange,2018,0,0,2,5,0,0,1,0,0,1,1,10,No
173,Kaiser Foundation Hospital Roseville,CA,Placer,2018,12,0,417,90,0,0,1,1,3,34,0,558,No
407,Sutter Auburn Faith Hospital,CA,Placer,2018,0,0,63,16,0,1,2,0,0,3,0,85,No
266,Ohio Valley,PA,Allegheny,2018,2,0,17,5,0,0,0,0,0,2,0,26,No
416,Sutter Roseville Medical Center,CA,Placer,2018,2,21,99,42,1,3,34,3,59,13,0,277,No
294,Plumas District Hospital,CA,Plumas,2018,0,0,2,5,0,1,0,0,0,1,0,9,No
366,Seneca Healthcare District,CA,Plumas,2014,0,0,1,0,0,0,0,0,0,0,0,1,No
69,Corona Regional Medical Center Main,CA,Riverside,2018,0,0,63,14,0,1,2,0,0,10,2,92,No
74,Desert Regional Medical Center,CA,Riverside,2018,0,28,153,32,0,0,15,0,16,17,0,261,No
86,Eisenhower Medical Center,CA,Riverside,2018,7,16,179,73,0,6,52,0,63,29,3,428,No
133,Hemet Valley Medical Center,CA,Riverside,2018,2,0,26,21,0,1,0,0,19,5,0,74,No
154,John F. Kennedy Memorial Hospital,CA,Riverside,2018,0,0,10,6,0,1,0,0,2,1,0,20,No
165,Kaiser Foundation Hospital Moreno Valley,CA,Riverside,2018,0,0,85,13,0,0,0,0,0,1,0,99,No
172,Kaiser Foundation Hospital Riverside,CA,Riverside,2018,7,0,258,65,2,24,25,9,3,19,4,416,No
