Hospital Name,State,County,Latitude,Longitude,Year,Total Surgeries for All Cancer Types,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach
Conemaugh Memorial,,Cambria,,,2018,217,17,11,81,41,0,2,22,1,26,15,1
Blue Mountain,,Carbon,,,2018,16,0,0,9,6,1,0,0,0,0,0,0
Mount Nittany,,Centre,,,2018,179,7,0,74,26,1,0,39,0,28,3,1
Brandywine,,Chester,,,2018,42,3,0,21,10,0,0,2,0,3,3,0
Chester County,,Chester,,,2018,345,14,0,253,38,0,1,1,0,37,1,0
Jennersville,,Chester,,,2018,24,0,0,15,8,0,0,0,0,0,0,1
Paoli,,Chester,,,2018,279,7,2,155,33,0,0,25,0,55,2,0
Phoenixville,,Chester,,,2018,179,2,1,112,19,0,0,11,0,32,1,1
Clarion,,Clarion,,,2018,26,1,0,11,13,0,0,0,0,0,1,0
Penn Highlands Clearfield,,Clearfield,,,2018,11,0,0,8,3,0,0,0,0,0,0,0
Penn Highlands DuBois,,Clearfield,,,2018,189,2,0,99,32,1,2,40,0,9,3,1
Lock Haven,,Clinton,,,2018,2,0,0,0,0,0,0,0,0,2,0,0
Berwick,,Columbia,,,2018,10,1,0,8,1,0,0,0,0,0,0,0
Geisinger Bloomsburg,,Columbia,,,2018,28,0,0,24,4,0,0,0,0,0,0,0
Meadville,,Crawford,,,2018,23,1,0,18,3,0,0,0,0,0,1,0
Titusville Area,,Crawford,,,2018,7,0,0,0,7,0,0,0,0,0,0,0
Holy Spirit,,Cumberland,,,2018,216,4,5,162,19,1,0,6,0,17,0,2
UPMC Pinnacle Carlisle,,Cumberland,,,2018,28,3,0,11,10,0,0,0,0,4,0,0
Milton S Hershey,,Dauphin,,,2018,601,32,48,248,71,12,5,36,18,83,34,14
UPMC Pinnacle Hospitals,,Dauphin,,,2018,613,27,0,331,115,2,2,34,3,78,20,1
Crozer-Chester,,Delaware,,,2018,190,4,8,107,29,0,2,6,5,20,9,0
Delaware County Memorial,,Delaware,,,2018,74,1,0,58,6,0,0,4,0,0,4,1
Mercy Fitzgerald,,Delaware,,,2018,48,1,1,12,20,1,0,9,1,1,1,1
Riddle Memorial,,Delaware,,,2018,133,8,0,90,28,0,0,0,0,2,5,0
Taylor Crozer,,Delaware,,,2018,12,2,0,1,8,0,0,0,0,1,0,0
Penn Highlands Elk,,Elk,,,2018,5,0,0,3,1,0,0,0,0,1,0,0
Millcreek Community,,Erie,,,2018,12,1,0,2,8,0,0,0,0,0,1,0
Saint Vincent,,Erie,,,2018,231,11,6,93,49,0,2,24,1,26,16,3
UPMC Hamot,,Erie,,,2018,299,7,14,152,40,0,1,31,0,43,10,1
Highlands,,Fayette,,,2018,2,0,0,0,2,0,0,0,0,0,0,0
Uniontown,,Fayette,,,2018,112,1,0,75,26,1,0,3,0,2,4,0
Chambersburg,,Franklin,,,2018,110,2,0,51,30,0,0,3,0,19,5,0
Waynesboro,,Franklin,,,2018,54,0,0,49,4,0,0,0,0,0,1,0
JC Blair Memorial,,Huntingdon,,,2018,19,0,0,9,10,0,0,0,0,0,0,0
Indiana Regional,,Indiana,,,2018,70,4,0,45,17,0,0,0,0,0,4,0
Penn Highlands Brookville,,Jefferson,,,2018,2,0,0,1,1,0,0,0,0,0,0,0
Punxsutawney Area,,Jefferson,,,2018,13,0,0,6,5,0,0,0,0,1,1,0
Geisinger Community,,Lackawanna,,,2018,195,2,12,102,28,0,0,30,0,2,19,0
Moses Taylor,,Lackawanna,,,2018,88,1,0,70,12,0,0,0,0,2,3,0
Regional Scranton,,Lackawanna,,,2018,131,15,0,31,12,0,0,30,0,41,2,0
Ephrata Community,,Lancaster,,,2018,84,3,0,54,15,0,0,11,0,1,0,0
Lancaster General,,Lancaster,,,2018,762,40,18,411,103,1,0,42,0,111,34,2
UPMC Pinnacle Lancaster,,Lancaster,,,2018,60,5,2,6,7,1,0,10,4,18,4,3
UPMC Pinnacle Lititz,,Lancaster,,,2018,61,2,0,54,5,0,0,0,0,0,0,0
Ellwood City,,Lawrence,,,2018,3,0,0,3,0,0,0,0,0,0,0,0
UPMC Jameson,,Lawrence,,,2018,66,3,0,35,21,0,0,3,0,4,0,0
WellSpan Good Samaritan,,Lebanon,,,2018,93,1,0,72,12,0,0,4,0,2,2,0
Lehigh Valley Allentown,,Lehigh,,,2018,625,27,43,203,118,12,32,56,34,58,29,13
St Luke's Bethlehem,,Lehigh,,,2018,520,19,28,114,96,12,7,73,21,113,26,11
St Luke's Sacred Heart,,Lehigh,,,2018,22,0,0,18,3,0,0,1,0,0,0,0
Surgical Spec Coordinated,,Lehigh,,,2018,24,0,0,24,0,0,0,0,0,0,0,0
Geisinger Wyoming Valley,,Luzerne,,,2018,283,6,29,99,41,13,13,27,8,32,9,6
Lehigh Valley Hazleton,,Luzerne,,,2018,38,1,0,16,15,1,0,1,1,0,3,0
Wilkes-Barre General,,Luzerne,,,2018,197,9,3,71,50,0,1,19,0,27,14,3
Geisinger Jersey Shore,,Lycoming,,,2018,3,0,0,0,3,0,0,0,0,0,0,0
Williamsport Regional,,Lycoming,,,2018,163,12,7,82,20,0,0,12,0,26,4,0
Bradford Regional,,McKean,,,2018,27,0,0,21,5,0,0,0,0,0,0,1
UPMC Kane,,McKean,,,2018,2,0,0,2,0,0,0,0,0,0,0,0
Grove City,,Mercer,,,2018,7,0,0,0,7,0,0,0,0,0,0,0
Sharon Regional,,Mercer,,,2018,37,2,0,12,20,0,0,1,0,0,0,2
UPMC Horizon,,Mercer,,,2018,80,3,0,69,6,0,0,0,0,2,0,0
Geisinger Lewistown,,Mifflin,,,2018,48,0,0,34,14,0,0,0,0,0,0,0
Lehigh Valley Pocono,,Monroe,,,2018,53,0,0,2,24,0,0,18,0,5,1,3
St Luke's Monroe,,Monroe,,,2018,9,1,0,1,6,0,0,0,0,1,0,0
Abington Memorial,,Montgomery,,,2018,396,6,19,146,82,6,3,49,8,47,24,6
Bryn Mawr,,Montgomery,,,2018,366,22,3,155,32,0,1,25,0,115,10,3
Einstein MC Montgomery,,Montgomery,,,2018,139,5,0,89,17,0,0,10,0,18,0,0
Holy Redeemer,,Montgomery,,,2018,220,3,0,188,22,0,0,4,0,1,2,0
Lankenau MC,,Montgomery,,,2018,473,4,13,253,65,8,15,33,9,13,48,12
Lansdale,,Montgomery,,,2018,79,1,0,67,11,0,0,0,0,0,0,0
Pottstown,,Montgomery,,,2018,18,4,2,4,8,0,0,0,0,0,0,0
Suburban Community,,Montgomery,,,2018,25,4,0,0,10,0,0,1,0,9,1,0
Geisinger Danville,,Montour,,,2018,492,23,43,166,80,12,5,47,24,42,46,4
Coordinated Health Ortho,,Northampton,,,2018,7,1,0,1,0,0,0,0,0,5,0,0
Easton,,Northampton,,,2018,66,4,0,31,17,1,0,5,1,0,4,3
St Luke's Anderson,,Northampton,,,2018,230,8,0,217,5,0,0,0,0,0,0,0
Sunbury Community,,Northumberland,,,2018,6,1,0,0,4,0,0,0,0,1,0,0
Albert Einstein,,Philadelphia,,,2018,289,8,10,168,36,2,5,16,5,33,4,2
Chestnut Hill,,Philadelphia,,,2018,72,3,0,52,8,0,0,0,0,6,3,0
Eastern Regional,,Philadelphia,,,2018,167,4,0,94,6,2,3,27,1,18,10,2
Hahnemann University,,Philadelphia,,,2018,142,5,7,55,21,5,12,8,5,17,3,4
Hospital Fox Chase Cancer,,Philadelphia,,,2018,1243,128,0,511,55,23,65,144,17,258,31,11
Hospital University PA,,Philadelphia,,,2018,1797,65,246,601,117,43,100,233,69,215,61,47
Jeanes,,Philadelphia,,,2018,55,2,25,9,16,0,0,0,0,0,3,0
Jefferson Health NE,,Philadelphia,,,2018,276,14,6,153,48,0,2,7,0,30,15,1
Mercy Philadelphia,,Philadelphia,,,2018,39,2,0,18,10,1,0,4,0,1,0,3
Methodist Division/TJUH,,Philadelphia,,,2018,56,1,0,21,18,0,0,0,0,6,8,2
Nazareth,,Philadelphia,,,2018,32,2,0,21,7,0,0,0,0,0,2,0
Penn Presbyterian,,Philadelphia,,,2018,480,2,8,0,36,3,1,100,0,313,9,8
Pennsylvania,,Philadelphia,,,2018,599,2,37,448,51,6,6,0,6,16,20,7
Roxborough Memorial,,Philadelphia,,,2018,5,2,0,1,1,0,0,1,0,0,0,0
Temple University,,Philadelphia,,,2018,421,14,28,107,36,6,13,61,4,128,16,8
Thomas Jefferson Univ,,Philadelphia,,,2018,891,39,141,251,66,28,25,92,114,94,17,24
UPMC Cole,,Potter,,,2018,9,0,0,6,3,0,0,0,0,0,0,0
Lehigh Valley Schuylkill,,Schuylkill,,,2018,8,0,0,5,2,0,0,0,0,1,0,0
St Luke's Miners,,Schuylkill,,,2018,9,2,0,6,1,0,0,0,0,0,0,0
Somerset,,Somerset,,,2018,20,0,0,8,9,0,0,0,0,0,3,0
Soon-Shiong MC Windber,,Somerset,,,2018,72,0,0,55,17,0,0,0,0,0,0,0
Barnes-Kasson County,,Susquehanna,,,2018,1,0,0,0,1,0,0,0,0,0,0,0
Soldiers & Sailors,,Tioga,,,2018,12,0,0,5,7,0,0,0,0,0,0,0
Evangelical Community,,Union,,,2018,91,0,0,76,14,0,0,0,0,0,1,0
UPMC Northwest,,Venango,,,2018,47,6,0,27,13,0,0,0,0,1,0,0
Warren General,,Warren,,,2018,26,0,0,21,5,0,0,0,0,0,0,0
Canonsburg,,Washington,,,2018,19,5,0,4,6,0,0,0,0,4,0,0
Monongahela Valley,,Washington,,,2018,80,4,0,55,11,0,0,3,0,2,3,2
Washington,,Washington,,,2018,157,2,0,57,36,2,0,27,0,30,2,1
Wayne Memorial,,Wayne,,,2018,34,0,0,23,10,0,0,0,0,0,1,0
Excela Health Latrobe,,Westmoreland,,,2018,128,3,0,76,27,0,0,2,0,18,1,1
Excela Hlth Westmoreland,,Westmoreland,,,2018,158,1,2,65,21,5,0,50,0,11,3,0
Frick,,Westmoreland,,,2018,14,1,0,8,4,0,0,0,0,1,0,0
Tyler Memorial,,Wyoming,,,2018,5,0,0,3,2,0,0,0,0,0,0,0
UPMC Pinnacle Hanover,,York,,,2018,89,1,0,66,20,0,0,0,0,0,2,0
UPMC Pinnacle Memorial,,York,,,2018,34,0,0,18,14,0,0,0,0,0,2,0
York,,York,,,2018,360,5,19,104,79,15,5,91,12,4,20,6
,,,,,,,,,,,,,,,,,
AHMC Anaheim Regional Medical Center,,Orange,33.84725,-117.93248,2013,168,0,1,105,29,1,0,23,0,3,3,3
AHMC Anaheim Regional Medical Center,,Orange,33.84725,-117.93248,2014,162,1,5,101,27,1,0,16,0,3,4,4
AHMC Anaheim Regional Medical Center,,Orange,33.84725,-117.93248,2015,157,2,0,104,23,1,0,16,0,6,1,4
AHMC Anaheim Regional Medical Center,,Orange,33.84725,-117.93248,2016,181,0,0,123,23,2,0,20,0,3,8,2
AHMC Anaheim Regional Medical Center,,Orange,33.84725,-117.93248,2017,157,1,3,97,35,0,0,11,0,8,1,1
Adventist Medical Center,,Kings,36.3256247,-119.6683912,2013,94,1,0,53,22,0,2,2,0,7,6,1
Adventist Medical Center,,Kings,36.3256247,-119.6683912,2014,115,0,0,72,21,0,1,1,0,10,7,3
Adventist Medical Center,,Kings,36.3256247,-119.6683912,2015,61,3,0,33,17,0,0,2,0,0,6,0
Adventist Medical Center,,Kings,36.3256247,-119.6683912,2016,58,0,0,16,20,3,0,2,1,4,12,0
Adventist Medical Center,,Kings,36.3256247,-119.6683912,2017,67,0,0,40,14,1,0,1,0,1,9,1
Alameda Hospital,,Alameda,37.762953,-122.25362,2013,6,0,0,2,3,0,0,0,0,0,0,1
Alameda Hospital,,Alameda,37.762953,-122.25362,2014,6,0,0,3,2,0,0,0,0,0,1,0
Alameda Hospital,,Alameda,37.762953,-122.25362,2015,8,0,0,3,4,0,0,0,0,0,1,0
Alameda Hospital,,Alameda,37.762953,-122.25362,2016,8,0,0,2,4,0,0,0,0,0,2,0
Alameda Hospital,,Alameda,37.762953,-122.25362,2017,5,0,0,2,1,0,0,0,0,0,2,0
Alhambra Hospital Medical Center,,Los Angeles,34.08988,-118.1449,2013,84,0,0,25,39,1,2,1,0,0,6,10
Alhambra Hospital Medical Center,,Los Angeles,34.08988,-118.1449,2014,89,0,0,13,40,0,1,19,0,0,11,5
Alhambra Hospital Medical Center,,Los Angeles,34.08988,-118.1449,2015,78,0,0,14,32,0,0,16,0,0,5,11
Alhambra Hospital Medical Center,,Los Angeles,34.08988,-118.1449,2016,91,0,0,5,51,1,1,18,0,0,10,5
Alhambra Hospital Medical Center,,Los Angeles,34.08988,-118.1449,2017,82,0,0,17,31,0,1,9,0,1,13,10
Alta Bates Summit Medical Center,,Alameda,37.82106,-122.26257,2015,319,0,0,215,49,1,9,12,2,15,7,9
Alta Bates Summit Medical Center,,Alameda,37.82106,-122.26257,2016,482,2,0,292,88,2,13,26,6,11,25,17
Alta Bates Summit Medical Center,,Alameda,37.82106,-122.26257,2017,482,0,0,303,69,6,7,23,6,25,28,15
Alta Bates Summit Medical Center – Alta Bates Campus,,Alameda,37.85633,-122.25784,2013,128,0,8,95,12,1,0,6,0,4,2,0
Alta Bates Summit Medical Center – Alta Bates Campus,,Alameda,37.85633,-122.25784,2014,111,0,7,80,12,0,0,4,1,3,2,2
Alta Bates Summit Medical Center – Alta Bates Campus,,Alameda,37.85633,-122.25784,2015,94,0,3,73,8,0,1,3,1,3,0,2
Alta Bates Summit Medical Center – Alta Bates Campus,,Alameda,37.85633,-122.25784,2016,106,0,10,74,15,0,0,0,1,3,2,1
Alta Bates Summit Medical Center – Alta Bates Campus,,Alameda,37.85633,-122.25784,2017,102,0,7,75,9,0,2,0,2,3,1,3
Alta Bates Summit Medical Center – Summit Campus – Hawthorne,,Alameda,37.82106,-122.26257,2013,336,0,0,208,43,2,7,22,10,19,14,11
Alta Bates Summit Medical Center – Summit Campus – Hawthorne,,Alameda,37.82106,-122.26257,2014,445,0,0,311,60,0,7,15,6,24,13,9
Alvarado Hospital,,San Diego,32.77708,-117.05683,2013,50,1,1,23,13,0,0,5,0,5,1,1
Alvarado Hospital,,San Diego,32.77708,-117.05683,2014,50,1,5,16,10,0,0,7,0,10,1,0
Alvarado Hospital,,San Diego,32.77708,-117.05683,2015,29,0,0,7,9,0,0,2,0,6,2,3
Alvarado Hospital,,San Diego,32.77708,-117.05683,2016,42,0,3,13,9,0,1,5,0,4,7,0
Alvarado Hospital,,San Diego,32.77708,-117.05683,2017,25,0,1,12,6,1,0,3,0,1,1,0
Anaheim General Hospital,,Orange,33.81716,-118.00706,2013,2,0,0,2,0,0,0,0,0,0,0,0
Anaheim Global Medical Center,,Orange,33.8209,-117.90921,2015,2,0,0,0,2,0,0,0,0,0,0,0
Anaheim Global Medical Center,,Orange,33.8209,-117.90921,2016,5,0,0,3,1,0,0,1,0,0,0,0
Anaheim Global Medical Center,,Orange,33.8209,-117.90921,2017,6,0,0,1,1,0,1,2,0,0,1,0
Antelope Valley Hospital,,Los Angeles,34.68928,-118.15767,2013,257,1,8,122,62,0,0,10,1,38,12,3
Antelope Valley Hospital,,Los Angeles,34.68928,-118.15767,2014,250,2,10,136,48,0,3,8,3,23,12,5
Antelope Valley Hospital,,Los Angeles,34.68928,-118.15767,2015,203,1,8,110,36,0,3,6,1,20,11,7
Antelope Valley Hospital,,Los Angeles,34.68928,-118.15767,2016,223,0,17,111,45,0,6,7,3,14,12,8
Antelope Valley Hospital,,Los Angeles,34.68928,-118.15767,2017,231,0,22,118,29,0,3,7,5,32,10,5
Arrowhead Regional Medical Center,,San Bernardino,34.07163215,-117.3527761,2013,161,4,18,86,19,1,3,6,2,13,7,2
Arrowhead Regional Medical Center,,San Bernardino,34.07163215,-117.3527761,2014,90,0,9,29,24,1,5,3,1,7,10,1
Arrowhead Regional Medical Center,,San Bernardino,34.07163215,-117.3527761,2015,38,1,5,19,5,1,1,0,0,3,2,1
Arrowhead Regional Medical Center,,San Bernardino,34.07163215,-117.3527761,2016,87,1,10,31,17,1,1,2,2,4,16,2
Arrowhead Regional Medical Center,,San Bernardino,34.07163215,-117.3527761,2017,105,2,28,30,15,0,2,4,2,7,11,4
Bakersfield Heart Hospital,,Kern,35.38619,-119.04314,2013,7,0,0,2,4,0,0,0,0,0,0,1
Bakersfield Heart Hospital,,Kern,35.38619,-119.04314,2014,11,0,0,3,7,0,0,1,0,0,0,0
Bakersfield Heart Hospital,,Kern,35.38619,-119.04314,2015,13,0,0,1,9,0,0,0,0,0,1,2
Bakersfield Heart Hospital,,Kern,35.38619,-119.04314,2016,9,0,0,2,6,0,0,0,0,1,0,0
Bakersfield Heart Hospital,,Kern,35.38619,-119.04314,2017,10,0,0,4,5,0,0,0,0,0,0,1
Bakersfield Memorial Hospital,,Kern,35.39051,-119.00658,2013,155,1,15,61,34,0,0,26,0,5,8,5
Bakersfield Memorial Hospital,,Kern,35.39051,-119.00658,2014,140,1,15,57,37,0,0,14,0,3,10,3
Bakersfield Memorial Hospital,,Kern,35.39051,-119.00658,2015,110,0,7,40,43,0,0,8,0,2,8,2
Bakersfield Memorial Hospital,,Kern,35.39051,-119.00658,2016,167,2,16,60,45,0,3,16,1,8,14,2
Bakersfield Memorial Hospital,,Kern,35.39051,-119.00658,2017,173,2,20,73,35,0,1,15,1,11,13,2
Banner Lassen Medical Center,,Lassen,40.42306,-120.64609,2014,1,0,0,0,0,0,0,0,0,0,1,0
Banner Lassen Medical Center,,Lassen,40.42306,-120.64609,2015,1,0,0,1,0,0,0,0,0,0,0,0
Banner Lassen Medical Center,,Lassen,40.42306,-120.64609,2016,1,0,0,0,1,0,0,0,0,0,0,0
Barstow Community Hospital,,San Bernardino,34.8935263,-117.0168841,2013,7,0,0,4,3,0,0,0,0,0,0,0
Barstow Community Hospital,,San Bernardino,34.8935263,-117.0168841,2014,6,0,0,3,2,0,0,0,0,0,1,0
Barstow Community Hospital,,San Bernardino,34.8935263,-117.0168841,2015,7,0,0,6,1,0,0,0,0,0,0,0
Barstow Community Hospital,,San Bernardino,34.8935263,-117.0168841,2016,11,0,0,5,3,0,2,0,0,0,1,0
Barstow Community Hospital,,San Bernardino,34.8935263,-117.0168841,2017,6,0,0,5,1,0,0,0,0,0,0,0
Barton Memorial Hospital,,El Dorado,38.91224,-119.99784,2013,15,0,0,11,4,0,0,0,0,0,0,0
Barton Memorial Hospital,,El Dorado,38.91224,-119.99784,2014,22,0,0,18,3,0,0,0,0,0,1,0
Barton Memorial Hospital,,El Dorado,38.91224,-119.99784,2015,23,0,0,11,8,0,0,0,0,4,0,0
Barton Memorial Hospital,,El Dorado,38.91224,-119.99784,2016,36,2,0,17,4,0,0,0,0,13,0,0
Barton Memorial Hospital,,El Dorado,38.91224,-119.99784,2017,28,1,0,12,4,0,0,0,0,8,3,0
Bellflower Medical Center,,Los Angeles,33.87466,-118.13052,2013,6,0,0,4,2,0,0,0,0,0,0,0
Beverly Hospital,,Los Angeles,34.01614,-118.10132,2013,49,0,2,25,16,0,0,1,0,2,2,1
Beverly Hospital,,Los Angeles,34.01614,-118.10132,2014,47,0,0,26,13,0,0,2,0,2,2,2
Beverly Hospital,,Los Angeles,34.01614,-118.10132,2015,47,0,1,27,10,0,0,3,0,0,2,4
Beverly Hospital,,Los Angeles,34.01614,-118.10132,2016,50,1,2,26,12,0,1,0,1,1,5,1
Beverly Hospital,,Los Angeles,34.01614,-118.10132,2017,58,1,0,38,5,0,0,1,0,5,5,3
Biggs Gridley Memorial Hospital,,Butte,39.36705,-121.69058,2013,2,0,0,0,2,0,0,0,0,0,0,0
Biggs Gridley Memorial Hospital,,Butte,39.36705,-121.69058,2014,3,0,0,1,2,0,0,0,0,0,0,0
California Hospital Medical Center – Los Angeles,,Los Angeles,34.03721,-118.26551,2013,103,0,4,71,10,0,0,1,2,3,8,4
California Hospital Medical Center – Los Angeles,,Los Angeles,34.03721,-118.26551,2014,140,0,3,107,12,0,1,2,1,4,6,4
California Hospital Medical Center – Los Angeles,,Los Angeles,34.03721,-118.26551,2015,114,0,1,89,17,0,0,2,0,0,4,1
California Hospital Medical Center – Los Angeles,,Los Angeles,34.03721,-118.26551,2016,166,0,4,113,15,0,4,5,1,4,10,10
California Hospital Medical Center – Los Angeles,,Los Angeles,34.03721,-118.26551,2017,115,1,7,66,19,1,3,1,3,1,8,5
California Pacific Medical Center – Davies Campus,,San Francisco,37.7691,-122.43465,2013,74,0,21,50,3,0,0,0,0,0,0,0
California Pacific Medical Center – Davies Campus,,San Francisco,37.7691,-122.43465,2014,69,0,16,51,2,0,0,0,0,0,0,0
California Pacific Medical Center – Davies Campus,,San Francisco,37.7691,-122.43465,2015,53,0,13,40,0,0,0,0,0,0,0,0
California Pacific Medical Center – Davies Campus,,San Francisco,37.7691,-122.43465,2016,86,0,24,59,1,0,0,0,0,2,0,0
California Pacific Medical Center – Davies Campus,,San Francisco,37.7691,-122.43465,2017,78,0,23,55,0,0,0,0,0,0,0,0
California Pacific Medical Center – Pacific Campus,,San Francisco,37.79149,-122.43102,2013,455,0,13,241,55,4,28,20,36,10,38,10
California Pacific Medical Center – Pacific Campus,,San Francisco,37.79149,-122.43102,2014,543,0,9,289,64,8,32,28,57,4,41,11
California Pacific Medical Center – Pacific Campus,,San Francisco,37.79149,-122.43102,2015,462,3,11,251,38,3,38,22,46,9,34,7
California Pacific Medical Center – Pacific Campus,,San Francisco,37.79149,-122.43102,2016,687,1,17,361,66,11,72,22,63,5,53,16
California Pacific Medical Center – Pacific Campus,,San Francisco,37.79149,-122.43102,2017,728,1,23,429,85,5,65,20,43,10,34,13
California Pacific Medical Center – St. Luke’s Campus,,San Francisco,37.74799,-122.42052,2013,22,0,0,6,12,0,0,0,1,0,3,0
California Pacific Medical Center – St. Luke’s Campus,,San Francisco,37.74799,-122.42052,2014,14,0,0,4,8,0,0,0,0,0,1,1
California Pacific Medical Center – St. Luke’s Campus,,San Francisco,37.74799,-122.42052,2015,16,0,0,6,9,0,0,0,0,0,1,0
California Pacific Medical Center – St. Luke’s Campus,,San Francisco,37.74799,-122.42052,2016,18,0,0,12,3,0,0,0,0,0,2,1
California Pacific Medical Center – St. Luke’s Campus,,San Francisco,37.74799,-122.42052,2017,19,0,0,9,7,0,0,0,0,1,2,0
Casa Colina Hospital,,Los Angeles,34.09633,-117.74561,2016,15,0,0,9,2,0,0,0,0,4,0,0
Casa Colina Hospital,,Los Angeles,34.09633,-117.74561,2017,27,0,2,18,3,0,0,0,0,2,2,0
Cedars Sinai Medical Center,,Los Angeles,34.07681,-118.38061,2013,1458,28,121,652,109,23,43,205,49,176,36,16
Cedars Sinai Medical Center,,Los Angeles,34.07681,-118.38061,2014,1475,21,119,662,131,11,58,198,34,152,59,30
Cedars Sinai Medical Center,,Los Angeles,34.07681,-118.38061,2015,1103,14,103,492,86,13,26,142,32,144,37,14
Cedars Sinai Medical Center,,Los Angeles,34.07681,-118.38061,2016,1492,22,157,706,132,12,53,79,56,197,55,23
Cedars Sinai Medical Center,,Los Angeles,34.07681,-118.38061,2017,1547,22,168,755,129,14,64,86,49,158,74,28
Centinela Hospital Medical Center,,Los Angeles,33.94917,-118.34788,2013,47,0,6,14,16,0,0,7,0,0,1,3
Centinela Hospital Medical Center,,Los Angeles,33.94917,-118.34788,2014,39,0,1,14,12,0,0,8,0,1,1,2
Centinela Hospital Medical Center,,Los Angeles,33.94917,-118.34788,2015,38,0,1,14,16,0,0,4,0,2,0,1
Centinela Hospital Medical Center,,Los Angeles,33.94917,-118.34788,2016,36,0,3,7,13,0,0,3,0,2,5,3
Centinela Hospital Medical Center,,Los Angeles,33.94917,-118.34788,2017,29,0,4,6,13,0,1,2,0,0,1,2
Chapman Global Medical Center,,Orange,33.78785,-117.82586,2015,1,0,0,0,0,0,0,0,0,0,0,1
Chapman Global Medical Center,,Orange,33.78785,-117.82586,2016,2,0,0,0,1,0,0,0,0,0,1,0
Chapman Global Medical Center,,Orange,33.78785,-117.82586,2017,1,0,0,0,0,0,0,0,0,0,1,0
Chapman Medical Center,,Orange,33.78785,-117.82586,2013,1,0,0,0,1,0,0,0,0,0,0,0
Chapman Medical Center,,Orange,33.78785,-117.82586,2014,4,0,0,1,1,0,0,0,0,0,2,0
Chinese Hospital,,San Francisco,37.79565,-122.40926,2013,63,2,0,35,16,0,0,0,0,0,7,3
Chinese Hospital,,San Francisco,37.79565,-122.40926,2014,66,1,0,23,24,0,2,0,1,1,6,8
Chinese Hospital,,San Francisco,37.79565,-122.40926,2015,34,0,0,11,15,0,0,0,0,0,3,5
Chinese Hospital,,San Francisco,37.79565,-122.40926,2016,39,0,0,4,18,0,1,0,1,0,9,6
