Hospital Name,State,County,Year,Total Surgeries for All Cancer Types,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach
Ellwood City,PA,Lawrence,2018,3,0,0,3,0,0,0,0,0,0,0,0
UPMC Jameson,PA,Lawrence,2018,66,3,0,35,21,0,0,3,0,4,0,0
WellSpan Good Samaritan,PA,Lebanon,2018,93,1,0,72,12,0,0,4,0,2,2,0
Lehigh Valley Allentown,PA,Lehigh,2018,625,27,43,203,118,12,32,56,34,58,29,13
St Luke's Bethlehem,PA,Lehigh,2018,520,19,28,114,96,12,7,73,21,113,26,11
St Luke's Sacred Heart,PA,Lehigh,2018,22,0,0,18,3,0,0,1,0,0,0,0
Surgical Spec Coordinated,PA,Lehigh,2018,24,0,0,24,0,0,0,0,0,0,0,0
Geisinger Wyoming Valley,PA,Luzerne,2018,283,6,29,99,41,13,13,27,8,32,9,6
Lehigh Valley Hazleton,PA,Luzerne,2018,38,1,0,16,15,1,0,1,1,0,3,0
Wilkes-Barre General,PA,Luzerne,2018,197,9,3,71,50,0,1,19,0,27,14,3
Geisinger Jersey Shore,PA,Lycoming,2018,3,0,0,0,3,0,0,0,0,0,0,0
Williamsport Regional,PA,Lycoming,2018,163,12,7,82,20,0,0,12,0,26,4,0
Bradford Regional,PA,McKean,2018,27,0,0,21,5,0,0,0,0,0,0,1
UPMC Kane,PA,McKean,2018,2,0,0,2,0,0,0,0,0,0,0,0
Grove City,PA,Mercer,2018,7,0,0,0,7,0,0,0,0,0,0,0
Sharon Regional,PA,Mercer,2018,37,2,0,12,20,0,0,1,0,0,0,2
UPMC Horizon,PA,Mercer,2018,80,3,0,69,6,0,0,0,0,2,0,0
Geisinger Lewistown,PA,Mifflin,2018,48,0,0,34,14,0,0,0,0,0,0,0
Lehigh Valley Pocono,PA,Monroe,2018,53,0,0,2,24,0,0,18,0,5,1,3
St Luke's Monroe,PA,Monroe,2018,9,1,0,1,6,0,0,0,0,1,0,0
Abington Memorial,PA,Montgomery,2018,396,6,19,146,82,6,3,49,8,47,24,6
Bryn Mawr,PA,Montgomery,2018,366,22,3,155,32,0,1,25,0,115,10,3
Einstein MC Montgomery,PA,Montgomery,2018,139,5,0,89,17,0,0,10,0,18,0,0
Holy Redeemer,PA,Montgomery,2018,220,3,0,188,22,0,0,4,0,1,2,0
Lankenau MC,PA,Montgomery,2018,473,4,13,253,65,8,15,33,9,13,48,12
Lansdale,PA,Montgomery,2018,79,1,0,67,11,0,0,0,0,0,0,0
Pottstown,PA,Montgomery,2018,18,4,2,4,8,0,0,0,0,0,0,0
Suburban Community,PA,Montgomery,2018,25,4,0,0,10,0,0,1,0,9,1,0
Geisinger Danville,PA,Montour,2018,492,23,43,166,80,12,5,47,24,42,46,4
Coordinated Health Ortho,PA,Northampton,2018,7,1,0,1,0,0,0,0,0,5,0,0
Easton,PA,Northampton,2018,66,4,0,31,17,1,0,5,1,0,4,3
St Luke's Anderson,PA,Northampton,2018,230,8,0,217,5,0,0,0,0,0,0,0
Sunbury Community,PA,Northumberland,2018,6,1,0,0,4,0,0,0,0,1,0,0
Albert Einstein,PA,Philadelphia,2018,289,8,10,168,36,2,5,16,5,33,4,2
Chestnut Hill,PA,Philadelphia,2018,72,3,0,52,8,0,0,0,0,6,3,0
Eastern Regional,PA,Philadelphia,2018,167,4,0,94,6,2,3,27,1,18,10,2
Hahnemann University,PA,Philadelphia,2018,142,5,7,55,21,5,12,8,5,17,3,4
Hospital Fox Chase Cancer,PA,Philadelphia,2018,"1,243",128,0,511,55,23,65,144,17,258,31,11
Hospital University PA,PA,Philadelphia,2018,"1,797",65,246,601,117,43,100,233,69,215,61,47
Jeanes,PA,Philadelphia,2018,55,2,25,9,16,0,0,0,0,0,3,0
Jefferson Health NE,PA,Philadelphia,2018,276,14,6,153,48,0,2,7,0,30,15,1
Mercy Philadelphia,PA,Philadelphia,2018,39,2,0,18,10,1,0,4,0,1,0,3
Methodist Division/TJUH,PA,Philadelphia,2018,56,1,0,21,18,0,0,0,0,6,8,2
Nazareth,PA,Philadelphia,2018,32,2,0,21,7,0,0,0,0,0,2,0
Penn Presbyterian,PA,Philadelphia,2018,480,2,8,0,36,3,1,100,0,313,9,8
Pennsylvania,PA,Philadelphia,2018,599,2,37,448,51,6,6,0,6,16,20,7
Roxborough Memorial,PA,Philadelphia,2018,5,2,0,1,1,0,0,1,0,0,0,0
Temple University,PA,Philadelphia,2018,421,14,28,107,36,6,13,61,4,128,16,8
Thomas Jefferson Univ,PA,Philadelphia,2018,891,39,141,251,66,28,25,92,114,94,17,24
UPMC Cole,PA,Potter,2018,9,0,0,6,3,0,0,0,0,0,0,0
Lehigh Valley Schuylkill,PA,Schuylkill,2018,8,0,0,5,2,0,0,0,0,1,0,0
St Luke's Miners,PA,Schuylkill,2018,9,2,0,6,1,0,0,0,0,0,0,0
Somerset,PA,Somerset,2018,20,0,0,8,9,0,0,0,0,0,3,0
Soon-Shiong MC Windber,PA,Somerset,2018,72,0,0,55,17,0,0,0,0,0,0,0
Barnes-Kasson County,PA,Susquehanna,2018,1,0,0,0,1,0,0,0,0,0,0,0
Soldiers & Sailors,PA,Tioga,2018,12,0,0,5,7,0,0,0,0,0,0,0
Evangelical Community,PA,Union,2018,91,0,0,76,14,0,0,0,0,0,1,0
UPMC Northwest,PA,Venango,2018,47,6,0,27,13,0,0,0,0,1,0,0
Warren General,PA,Warren,2018,26,0,0,21,5,0,0,0,0,0,0,0
Canonsburg,PA,Washington,2018,19,5,0,4,6,0,0,0,0,4,0,0
Monongahela Valley,PA,Washington,2018,80,4,0,55,11,0,0,3,0,2,3,2
Washington,PA,Washington,2018,157,2,0,57,36,2,0,27,0,30,2,1
Wayne Memorial,PA,Wayne,2018,34,0,0,23,10,0,0,0,0,0,1,0
Excela Health Latrobe,PA,Westmoreland,2018,128,3,0,76,27,0,0,2,0,18,1,1
Excela Hlth Westmoreland,PA,Westmoreland,2018,158,1,2,65,21,5,0,50,0,11,3,0
Frick,PA,Westmoreland,2018,14,1,0,8,4,0,0,0,0,1,0,0
Tyler Memorial,PA,Wyoming,2018,5,0,0,3,2,0,0,0,0,0,0,0
UPMC Pinnacle Hanover,PA,York,2018,89,1,0,66,20,0,0,0,0,0,2,0
UPMC Pinnacle Memorial,PA,York,2018,34,0,0,18,14,0,0,0,0,0,2,0
York,PA,York,2018,360,5,19,104,79,15,5,91,12,4,20,6
AHMC Anaheim Regional Medical Center,CA,Orange,2013,168,0,1,105,29,1,0,23,0,3,3,3
AHMC Anaheim Regional Medical Center,CA,Orange,2014,162,1,5,101,27,1,0,16,0,3,4,4
AHMC Anaheim Regional Medical Center,CA,Orange,2015,157,2,0,104,23,1,0,16,0,6,1,4
AHMC Anaheim Regional Medical Center,CA,Orange,2016,181,0,0,123,23,2,0,20,0,3,8,2
AHMC Anaheim Regional Medical Center,CA,Orange,2017,157,1,3,97,35,0,0,11,0,8,1,1
Adventist Medical Center,CA,Kings,2013,94,1,0,53,22,0,2,2,0,7,6,1
Adventist Medical Center,CA,Kings,2014,115,0,0,72,21,0,1,1,0,10,7,3
Adventist Medical Center,CA,Kings,2015,61,3,0,33,17,0,0,2,0,0,6,0
Adventist Medical Center,CA,Kings,2016,58,0,0,16,20,3,0,2,1,4,12,0
Adventist Medical Center,CA,Kings,2017,67,0,0,40,14,1,0,1,0,1,9,1
Alameda Hospital,CA,Alameda,2013,6,0,0,2,3,0,0,0,0,0,0,1
Alameda Hospital,CA,Alameda,2014,6,0,0,3,2,0,0,0,0,0,1,0
Alameda Hospital,CA,Alameda,2015,8,0,0,3,4,0,0,0,0,0,1,0
Alameda Hospital,CA,Alameda,2016,8,0,0,2,4,0,0,0,0,0,2,0
Alameda Hospital,CA,Alameda,2017,5,0,0,2,1,0,0,0,0,0,2,0
Alhambra Hospital Medical Center,CA,Los Angeles,2013,84,0,0,25,39,1,2,1,0,0,6,10
Alhambra Hospital Medical Center,CA,Los Angeles,2014,89,0,0,13,40,0,1,19,0,0,11,5
Alhambra Hospital Medical Center,CA,Los Angeles,2015,78,0,0,14,32,0,0,16,0,0,5,11
Alhambra Hospital Medical Center,CA,Los Angeles,2016,91,0,0,5,51,1,1,18,0,0,10,5
Alhambra Hospital Medical Center,CA,Los Angeles,2017,82,0,0,17,31,0,1,9,0,1,13,10
Alta Bates Summit Medical Center,CA,Alameda,2015,319,0,0,215,49,1,9,12,2,15,7,9
Alta Bates Summit Medical Center,CA,Alameda,2016,482,2,0,292,88,2,13,26,6,11,25,17
Alta Bates Summit Medical Center,CA,Alameda,2017,482,0,0,303,69,6,7,23,6,25,28,15
Alta Bates Summit Medical Center – Alta Bates Campus,CA,Alameda,2013,128,0,8,95,12,1,0,6,0,4,2,0
Alta Bates Summit Medical Center – Alta Bates Campus,CA,Alameda,2014,111,0,7,80,12,0,0,4,1,3,2,2
Alta Bates Summit Medical Center – Alta Bates Campus,CA,Alameda,2015,94,0,3,73,8,0,1,3,1,3,0,2
Alta Bates Summit Medical Center – Alta Bates Campus,CA,Alameda,2016,106,0,10,74,15,0,0,0,1,3,2,1
Alta Bates Summit Medical Center – Alta Bates Campus,CA,Alameda,2017,102,0,7,75,9,0,2,0,2,3,1,3
Alta Bates Summit Medical Center – Summit Campus – Hawthorne,CA,Alameda,2013,336,0,0,208,43,2,7,22,10,19,14,11
Alta Bates Summit Medical Center – Summit Campus – Hawthorne,CA,Alameda,2014,445,0,0,311,60,0,7,15,6,24,13,9
Alvarado Hospital,CA,San Diego,2013,50,1,1,23,13,0,0,5,0,5,1,1
Alvarado Hospital,CA,San Diego,2014,50,1,5,16,10,0,0,7,0,10,1,0
Alvarado Hospital,CA,San Diego,2015,29,0,0,7,9,0,0,2,0,6,2,3
Alvarado Hospital,CA,San Diego,2016,42,0,3,13,9,0,1,5,0,4,7,0
Alvarado Hospital,CA,San Diego,2017,25,0,1,12,6,1,0,3,0,1,1,0
Anaheim General Hospital,CA,Orange,2013,2,0,0,2,0,0,0,0,0,0,0,0
Anaheim Global Medical Center,CA,Orange,2015,2,0,0,0,2,0,0,0,0,0,0,0
Anaheim Global Medical Center,CA,Orange,2016,5,0,0,3,1,0,0,1,0,0,0,0
Anaheim Global Medical Center,CA,Orange,2017,6,0,0,1,1,0,1,2,0,0,1,0
Antelope Valley Hospital,CA,Los Angeles,2013,257,1,8,122,62,0,0,10,1,38,12,3
Antelope Valley Hospital,CA,Los Angeles,2014,250,2,10,136,48,0,3,8,3,23,12,5
Antelope Valley Hospital,CA,Los Angeles,2015,203,1,8,110,36,0,3,6,1,20,11,7
Antelope Valley Hospital,CA,Los Angeles,2016,223,0,17,111,45,0,6,7,3,14,12,8
Antelope Valley Hospital,CA,Los Angeles,2017,231,0,22,118,29,0,3,7,5,32,10,5
Arrowhead Regional Medical Center,CA,San Bernardino,2013,161,4,18,86,19,1,3,6,2,13,7,2
Arrowhead Regional Medical Center,CA,San Bernardino,2014,90,0,9,29,24,1,5,3,1,7,10,1
Arrowhead Regional Medical Center,CA,San Bernardino,2015,38,1,5,19,5,1,1,0,0,3,2,1
Arrowhead Regional Medical Center,CA,San Bernardino,2016,87,1,10,31,17,1,1,2,2,4,16,2
Arrowhead Regional Medical Center,CA,San Bernardino,2017,105,2,28,30,15,0,2,4,2,7,11,4
Bakersfield Heart Hospital,CA,Kern,2013,7,0,0,2,4,0,0,0,0,0,0,1
Bakersfield Heart Hospital,CA,Kern,2014,11,0,0,3,7,0,0,1,0,0,0,0
Bakersfield Heart Hospital,CA,Kern,2015,13,0,0,1,9,0,0,0,0,0,1,2
Bakersfield Heart Hospital,CA,Kern,2016,9,0,0,2,6,0,0,0,0,1,0,0
Bakersfield Heart Hospital,CA,Kern,2017,10,0,0,4,5,0,0,0,0,0,0,1
Bakersfield Memorial Hospital,CA,Kern,2013,155,1,15,61,34,0,0,26,0,5,8,5
Bakersfield Memorial Hospital,CA,Kern,2014,140,1,15,57,37,0,0,14,0,3,10,3
Bakersfield Memorial Hospital,CA,Kern,2015,110,0,7,40,43,0,0,8,0,2,8,2
Bakersfield Memorial Hospital,CA,Kern,2016,167,2,16,60,45,0,3,16,1,8,14,2
Bakersfield Memorial Hospital,CA,Kern,2017,173,2,20,73,35,0,1,15,1,11,13,2
Banner Lassen Medical Center,CA,Lassen,2014,1,0,0,0,0,0,0,0,0,0,1,0
Banner Lassen Medical Center,CA,Lassen,2015,1,0,0,1,0,0,0,0,0,0,0,0
Banner Lassen Medical Center,CA,Lassen,2016,1,0,0,0,1,0,0,0,0,0,0,0
Barstow Community Hospital,CA,San Bernardino,2013,7,0,0,4,3,0,0,0,0,0,0,0
Barstow Community Hospital,CA,San Bernardino,2014,6,0,0,3,2,0,0,0,0,0,1,0
Barstow Community Hospital,CA,San Bernardino,2015,7,0,0,6,1,0,0,0,0,0,0,0
Barstow Community Hospital,CA,San Bernardino,2016,11,0,0,5,3,0,2,0,0,0,1,0
Barstow Community Hospital,CA,San Bernardino,2017,6,0,0,5,1,0,0,0,0,0,0,0
Barton Memorial Hospital,CA,El Dorado,2013,15,0,0,11,4,0,0,0,0,0,0,0
Barton Memorial Hospital,CA,El Dorado,2014,22,0,0,18,3,0,0,0,0,0,1,0
Barton Memorial Hospital,CA,El Dorado,2015,23,0,0,11,8,0,0,0,0,4,0,0
Barton Memorial Hospital,CA,El Dorado,2016,36,2,0,17,4,0,0,0,0,13,0,0
Barton Memorial Hospital,CA,El Dorado,2017,28,1,0,12,4,0,0,0,0,8,3,0
Bellflower Medical Center,CA,Los Angeles,2013,6,0,0,4,2,0,0,0,0,0,0,0
Beverly Hospital,CA,Los Angeles,2013,49,0,2,25,16,0,0,1,0,2,2,1
Beverly Hospital,CA,Los Angeles,2014,47,0,0,26,13,0,0,2,0,2,2,2
Beverly Hospital,CA,Los Angeles,2015,47,0,1,27,10,0,0,3,0,0,2,4
Beverly Hospital,CA,Los Angeles,2016,50,1,2,26,12,0,1,0,1,1,5,1
Beverly Hospital,CA,Los Angeles,2017,58,1,0,38,5,0,0,1,0,5,5,3
Biggs Gridley Memorial Hospital,CA,Butte,2013,2,0,0,0,2,0,0,0,0,0,0,0
Biggs Gridley Memorial Hospital,CA,Butte,2014,3,0,0,1,2,0,0,0,0,0,0,0
California Hospital Medical Center – Los Angeles,CA,Los Angeles,2013,103,0,4,71,10,0,0,1,2,3,8,4
California Hospital Medical Center – Los Angeles,CA,Los Angeles,2014,140,0,3,107,12,0,1,2,1,4,6,4
California Hospital Medical Center – Los Angeles,CA,Los Angeles,2015,114,0,1,89,17,0,0,2,0,0,4,1
California Hospital Medical Center – Los Angeles,CA,Los Angeles,2016,166,0,4,113,15,0,4,5,1,4,10,10
California Hospital Medical Center – Los Angeles,CA,Los Angeles,2017,115,1,7,66,19,1,3,1,3,1,8,5
California Pacific Medical Center – Davies Campus,CA,San Francisco,2013,74,0,21,50,3,0,0,0,0,0,0,0
California Pacific Medical Center – Davies Campus,CA,San Francisco,2014,69,0,16,51,2,0,0,0,0,0,0,0
California Pacific Medical Center – Davies Campus,CA,San Francisco,2015,53,0,13,40,0,0,0,0,0,0,0,0
California Pacific Medical Center – Davies Campus,CA,San Francisco,2016,86,0,24,59,1,0,0,0,0,2,0,0
California Pacific Medical Center – Davies Campus,CA,San Francisco,2017,78,0,23,55,0,0,0,0,0,0,0,0
California Pacific Medical Center – Pacific Campus,CA,San Francisco,2013,455,0,13,241,55,4,28,20,36,10,38,10
California Pacific Medical Center – Pacific Campus,CA,San Francisco,2014,543,0,9,289,64,8,32,28,57,4,41,11
California Pacific Medical Center – Pacific Campus,CA,San Francisco,2015,462,3,11,251,38,3,38,22,46,9,34,7
California Pacific Medical Center – Pacific Campus,CA,San Francisco,2016,687,1,17,361,66,11,72,22,63,5,53,16
California Pacific Medical Center – Pacific Campus,CA,San Francisco,2017,728,1,23,429,85,5,65,20,43,10,34,13
California Pacific Medical Center – St. Luke’s Campus,CA,San Francisco,2013,22,0,0,6,12,0,0,0,1,0,3,0
California Pacific Medical Center – St. Luke’s Campus,CA,San Francisco,2014,14,0,0,4,8,0,0,0,0,0,1,1
California Pacific Medical Center – St. Luke’s Campus,CA,San Francisco,2015,16,0,0,6,9,0,0,0,0,0,1,0
California Pacific Medical Center – St. Luke’s Campus,CA,San Francisco,2016,18,0,0,12,3,0,0,0,0,0,2,1
California Pacific Medical Center – St. Luke’s Campus,CA,San Francisco,2017,19,0,0,9,7,0,0,0,0,1,2,0
Casa Colina Hospital,CA,Los Angeles,2016,15,0,0,9,2,0,0,0,0,4,0,0
Casa Colina Hospital,CA,Los Angeles,2017,27,0,2,18,3,0,0,0,0,2,2,0
Cedars Sinai Medical Center,CA,Los Angeles,2013,1458,28,121,652,109,23,43,205,49,176,36,16
Cedars Sinai Medical Center,CA,Los Angeles,2014,1475,21,119,662,131,11,58,198,34,152,59,30
Cedars Sinai Medical Center,CA,Los Angeles,2015,1103,14,103,492,86,13,26,142,32,144,37,14
Cedars Sinai Medical Center,CA,Los Angeles,2016,1492,22,157,706,132,12,53,79,56,197,55,23
Cedars Sinai Medical Center,CA,Los Angeles,2017,1547,22,168,755,129,14,64,86,49,158,74,28
Centinela Hospital Medical Center,CA,Los Angeles,2013,47,0,6,14,16,0,0,7,0,0,1,3
Centinela Hospital Medical Center,CA,Los Angeles,2014,39,0,1,14,12,0,0,8,0,1,1,2
Centinela Hospital Medical Center,CA,Los Angeles,2015,38,0,1,14,16,0,0,4,0,2,0,1
Centinela Hospital Medical Center,CA,Los Angeles,2016,36,0,3,7,13,0,0,3,0,2,5,3
Centinela Hospital Medical Center,CA,Los Angeles,2017,29,0,4,6,13,0,1,2,0,0,1,2
Chapman Global Medical Center,CA,Orange,2015,1,0,0,0,0,0,0,0,0,0,0,1
Chapman Global Medical Center,CA,Orange,2016,2,0,0,0,1,0,0,0,0,0,1,0
Chapman Global Medical Center,CA,Orange,2017,1,0,0,0,0,0,0,0,0,0,1,0
Chapman Medical Center,CA,Orange,2013,1,0,0,0,1,0,0,0,0,0,0,0
Chapman Medical Center,CA,Orange,2014,4,0,0,1,1,0,0,0,0,0,2,0
Chinese Hospital,CA,San Francisco,2013,63,2,0,35,16,0,0,0,0,0,7,3
Chinese Hospital,CA,San Francisco,2014,66,1,0,23,24,0,2,0,1,1,6,8
Chinese Hospital,CA,San Francisco,2015,34,0,0,11,15,0,0,0,0,0,3,5
Chinese Hospital,CA,San Francisco,2016,39,0,0,4,18,0,1,0,1,0,9,6
Chinese Hospital,CA,San Francisco,2017,22,0,0,0,15,0,0,0,0,1,2,4
Chino Valley Medical Center,CA,San Bernardino,2013,4,0,0,1,2,0,0,0,0,0,1,0
Chino Valley Medical Center,CA,San Bernardino,2014,12,0,0,4,7,0,0,0,0,1,0,0
Chino Valley Medical Center,CA,San Bernardino,2015,15,0,0,9,5,0,0,0,0,0,1,0
Chino Valley Medical Center,CA,San Bernardino,2016,32,0,0,21,8,0,0,0,0,1,1,1
Chino Valley Medical Center,CA,San Bernardino,2017,27,0,0,16,6,0,0,0,0,0,3,2
Citrus Valley Medical Center – Inter Community Campus,CA,Los Angeles,2013,81,0,3,36,31,0,0,6,0,0,3,2
Citrus Valley Medical Center – Inter Community Campus,CA,Los Angeles,2014,79,0,3,52,11,0,0,10,0,0,3,0
Citrus Valley Medical Center – Inter Community Campus,CA,Los Angeles,2015,31,0,1,12,7,0,0,7,0,0,4,0
Citrus Valley Medical Center – Inter Community Campus,CA,Los Angeles,2016,57,1,1,24,15,0,0,10,0,0,5,1
Citrus Valley Medical Center – Inter Community Campus,CA,Los Angeles,2017,40,0,2,11,20,0,0,1,1,1,1,3
Citrus Valley Medical Center – Queen of the Valley Campus,CA,Los Angeles,2013,146,3,8,45,16,0,0,1,0,67,4,2
Citrus Valley Medical Center – Queen of the Valley Campus,CA,Los Angeles,2014,165,0,10,34,18,0,0,4,0,93,4,2
Citrus Valley Medical Center – Queen of the Valley Campus,CA,Los Angeles,2015,139,2,9,41,18,0,1,1,0,57,3,7
Citrus Valley Medical Center – Queen of the Valley Campus,CA,Los Angeles,2016,151,5,8,29,23,0,0,0,0,71,12,3
Citrus Valley Medical Center – Queen of the Valley Campus,CA,Los Angeles,2017,184,5,8,37,26,0,1,4,2,96,4,1
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2013,1145,40,45,437,56,9,56,40,9,398,26,29
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2014,1108,38,49,431,55,9,58,52,16,336,30,34
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2015,799,28,48,332,29,2,67,48,18,167,35,25
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2016,1197,42,88,517,65,17,101,60,21,211,45,30
