Hospital_Name,Address,City,State,County,Zip,Lat,Long,Location,Phone,Mortality_national_comparison,Mortality_national_comparison_footnote,Safety_of_care_national_comparison,Safety_of_care_national_comparison_footnote,Readmission_national_comparison,Readmission_national comparison_footnote,Patient_experience national_comparison,Patient_experience national comparison_footnote,Effectiveness_of_care_national_comparison,Effectiveness_of_care_national_comparison_footnote,Timeliness_of_care_national_comparison,Timeliness_of_care_national_comparison_footnote,Efficient_use of_medical_imaging_national_comparison,Efficient_use_of_medical_imaging_national_comparison_footnote,Emergency_Room,Hospital_Compare_Star_Rating,Star rating weight and score,Leapfrog_Safety_Grade,Leapfrog grade conversion,Leapfrog weight and score,US_News_and_World_Report_State_Ranking,US News ranking conversion,US News weight and score,Magnet_Designation,Magnet weight and score,Magnet weight and score,Total_composite_score,url
AMITA HEALTH ADVENTIST GLENOAKS,701 WINTHROP AVENUE,GLENDALE HEIGHTS,IL,DUPAGE,60139,41.915166,-88.058597,"701 WINTHROP AVENUE GLENDALE HEIGHTS, IL",(630) 545-8000,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,3,https://www.amitahealth.org/locations/hospitals/glenoaks
AMITA HEALTH ADVENTIST HINSDALE HOSPITAL,120 NORTH OAK ST,HINSDALE,IL,DUPAGE,60521,41.805329,-87.920062,"120 NORTH OAK ST HINSDALE, IL",(630) 856-9000,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,16,2,0.3,Y,5,0.75,5,https://www.amitahealth.org/locations/hospitals/hinsdale
AMITA HEALTH ADVENTIST LA GRANGE MEMORIAL HOSPITAL,5101 S WILLOW SPRINGS RD,LA GRANGE,IL,COOK,60525,41.797382,-87.888407,"5101 S WILLOW SPRINGS RD LA GRANGE, IL",(708) 352-1200,Above the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,0,0,0,N,0,0,4,https://www.amitahealth.org/locations/hospitals/lagrange
AMITA HEALTH ALEXIAN BROTHERS MEDICAL CENTER,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,COOK,60007,42.003705,-88.014996,"800 W BIESTERFIELD RD ELK GROVE VILLAGE, IL",(847) 437-5500,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,5,1.75,B,4,1.4,25,1,0.15,N,0,0,3,https://www.amitahealth.org/locations/hospitals/elk-grove-village
AMITA HEALTH SAINT JOSEPH HOSPITAL - ELGIN,77 N AIRLITE STREET,ELGIN,IL,KANE,60123,42.036242,-88.327934,"77 N AIRLITE STREET ELGIN, IL",(847) 695-3200,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,3,http://www.presencehealth.org/presence-saint-joseph-hospital-elgin
AMITA HEALTH SANIT ALEXIUS MEDICAL CENTER,1555 N BARRINGTON RD,HOFFMAN ESTATES,IL,COOK,60194,42.052409,-88.144445,"1555 N BARRINGTON RD HOFFMAN ESTATES, IL",(847) 843-2000,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,0,0,0,N,0,0,4,https://www.amitahealth.org/locations/hospitals/hoffman-estates
COMMUNITY FIRST MEDICAL CENTER,5645 W ADDISON STREET,CHICAGO,IL,COOK,60634,41.94585,-87.768287,"5645 W ADDISON STREET CHICAGO, IL",(773) 282-7000,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,2,0.7,B,4,1.4,0,0,0,N,0,0,2,https://www.cfmedicalcenter.com/
EDWARD HOSPITAL,801 SOUTH WASHINGTON,NAPERVILLE,IL,DUPAGE,60540,41.761426,-88.149239,"801 SOUTH WASHINGTON NAPERVILLE, IL",(630) 527-3000,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,4,1.4,A,5,1.75,12,3,0.45,Y,5,0.75,4,https://www.eehealth.org/locations/naperville/edward-hospital-main-campus/
ELMHURST MEMORIAL HOSPITAL,155 EAST BRUSH HILL ROAD,ELMHURST,IL,DUPAGE,60126,41.861684,-87.934295,"155 EAST BRUSH HILL ROAD ELMHURST, IL",(331) 221-0130,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,A,5,1.75,0,0,0,Y,5,0.75,4,https://www.eehealth.org/locations/elmhurst/elmhurst-hospital-main-campus/
FRANCISCAN ST JAMES HEALTH OLYMPIA FIELDS & CHICAGO HEIGHTS,20201 S CRAWFORD AVENUE,OLYMPIA FIELDS,IL,COOK,60461,41.522571,-87.713245,"20201 S CRAWFORD AVENUE OLYMPIA FIELDS, IL",(708) 747-4000,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,1,https://www.franciscanhealth.org/south-suburban-chicago
HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,COOK,60629,41.770008,-87.691909,"2701 W 68TH STREET CHICAGO, IL",(773) 884-9000,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,C,3,1.05,0,0,0,N,0,0,2,http://www.sinai.org/content/holy-cross-hospital-0
INGALLS MEMORIAL HOSPITAL,1 INGALLS DRIVE,HARVEY,IL,COOK,60426,41.606331,-87.659484,"1 INGALLS DRIVE HARVEY, IL",(708) 333-2300,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,4,1.4,C,3,1.05,0,0,0,N,0,0,3,https://www.ingalls.org/
JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE,CHICAGO,IL,COOK,60649,41.757332,-87.58571,"7531 S STONY ISLAND AVE CHICAGO, IL",(773) 947-7500,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Yes,1,0.35,D,2,0.7,0,0,0,N,0,0,1,https://www.jacksonparkhospital.org/
JOHN H STROGER JR COOK COUNTY HOSPITAL,1901 W HARRISON ST,CHICAGO,IL,COOK,60612,41.874041,-87.674311,"1901 W HARRISON ST CHICAGO, IL",(312) 864-6000,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,D,2,0.7,0,0,0,N,0,0,1,https://cookcountyhealth.org/
LITTLE COMPANY OF MARY HOSPITAL,2800 W 95TH ST,EVERGREEN PARK,IL,COOK,60805,41.720902,-87.691966,"2800 W 95TH ST EVERGREEN PARK, IL",(708) 422-6200,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,A,5,1.75,0,0,0,N,0,0,3,https://www.lcmh.org/
LORETTO HOSPITAL,645 SOUTH CENTRAL AVE,CHICAGO,IL,COOK,60644,41.872042,-87.764443,"645 SOUTH CENTRAL AVE CHICAGO, IL",(773) 626-4300,Same as the national average,,,Results are not available for this reporting period.,Same as the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Below the national average,,,Results are not available for this reporting period.,Yes,3,1.05,D,2,0.7,0,0,0,N,0,0,2,https://www.lorettohospital.org/
LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,COOK,60640,41.966521,-87.648898,"4646 N MARINE DRIVE CHICAGO, IL",(773) 878-8700,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,1,0.35,D,2,0.7,0,0,0,N,0,0,1,https://www.weisshospital.com/
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,701 WEST NORTH AVE,MELROSE PARK,IL,COOK,60160,41.908342,-87.841101,"701 WEST NORTH AVE MELROSE PARK, IL",(708) 681-3200,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,3,http://www.gottliebhospital.org/
LOYOLA UNIVERSITY MEDICAL CENTER,2160 S 1ST AVENUE,MAYWOOD,IL,COOK,60153,41.858732,-87.83321,"2160 S 1ST AVENUE MAYWOOD, IL",(708) 216-9000,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,3,1.05,B,4,1.4,3,5,0.75,Y,5,0.75,4,https://www.loyolamedicine.org/
MACNEAL  HOSPITAL,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,COOK,60402,41.832002,-87.792783,"3249 SOUTH OAK PARK AVENUE BERWYN, IL",(708) 783-9100,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,A,5,1.75,0,0,0,N,0,0,3,https://macnealhospital.org/
MERCY HARVARD HOSPITAL,901 S GRANT STREET,HARVARD,IL,MCHENRY,60033,42.425992,-88.607748,"901 S GRANT STREET HARVARD, IL",(815) 943-5431,Same as the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,Yes,3,1.05,Hospital does not participate,FALSE,0,0,0,0,Y,5,0.75,2,https://mercyhealthsystem.org/location/mercyhealth-harvard-hospital-and-medical-center-campus/
MERCY HOSPITAL AND MEDICAL CENTER,2525 S MICHIGAN AVE,CHICAGO,IL,COOK,60616,41.847053,-87.623583,"2525 S MICHIGAN AVE CHICAGO, IL",(312) 567-2000,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,1,https://www.mercy-chicago.org/
METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,CHICAGO,IL,COOK,60640,41.973262,-87.671141,"5025 N PAULINA STREET CHICAGO, IL",(773) 271-9040,Same as the national average,,,Results are not available for this reporting period.,Below the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,,Results are not available for this reporting period.,Yes,2,0.7,Hospital does not participate,FALSE,0,0,0,0,N,0,0,1,https://www.methodistchicago.org/
METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,COOK,60406,41.6586,-87.67809,"12935 S GREGORY BLUE ISLAND, IL",(708) 597-2000,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,C,3,1.05,0,0,0,N,0,0,2,http://www.metrosouthmedicalcenter.com/metrosouth/home.aspx
MIDWESTERN REGION MED CENTER,2520 ELISHA AVENUE,ZION,IL,LAKE,60099,42.44897,-87.82684,"2520 ELISHA AVENUE ZION, IL",(847) 872-4561,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,,Results are not available for this reporting period.,Yes,5,1.75,Hospital does not participate,FALSE,0,0,0,0,N,0,0,2,https://www.vitals.com/hospital/3mnbt0/midwestern-regional-medical-center-zion
MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,GRUNDY,60450,41.368907,-88.426016,"150 W HIGH ST MORRIS, IL",(815) 942-2932,Below the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,3,https://www.cancercenter.com/locations/chicago
MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,COOK,60608,41.50497,-87.59399,"15TH STREET AT CALIFORNIA CHICAGO, IL",(773) 542-2000,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,D,2,0.7,0,0,0,N,0,0,1,http://www.sinai.org/content/mount-sinai-hospital-0
NORTHSHORE UNIVERSITY HEALTH SYSTEM EVANSTON HOSPITAL,2650 RIDGE AVE,EVANSTON,IL,COOK,60201,42.0653,-87.683293,"2650 RIDGE AVE EVANSTON, IL",(847) 432-8000,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,A,5,1.75,7,4,0.6,Y,5,0.75,5,https://www.northshore.org/locations/our-hospitals/evanston-hospital/
NORTHSHORE UNIVERSITY HEALTH SYSTEM GLENBROOK HOSPITAL,2100 PFINGSTEN ROAD,GLENVIEW,IL,COOK,60026,42.092662,-87.85271,2100 PFINGSTEN ROAD,(847) 657-5800,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,A,5,1.75,7,4,0.6,Y,5,0.75,5,https://www.northshore.org/locations/our-hospitals/glenbrook-hospital/
NORTHSHORE UNIVERSITY HEALTH SYSTEM HIGHLAND PARK HOSPITAL,777 PARK AVENUE WEST,HIGHLAND PARK,IL,LAKE,60035,42.190825,-87.808164,777 PARK AVENUE WEST,(847) 432-8000,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,A,5,1.75,7,4,0.6,Y,5,0.75,5,https://www.northshore.org/locations/our-hospitals/highland-park-hospital/
NORTHSHORE UNIVERSITY HEALTH SYSTEM SKOKIE HOSPITAL,9600 GROSS POINTE ROAD,SKOKIE,IL,COOK,60076,42.056228,-87.740086,9600 GROSS POINTE ROAD,(847) 677-9600,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,A,5,1.75,7,4,0.6,Y,5,0.75,5,https://www.northshore.org/locations/our-hospitals/skokie-hospital/
NORTHWEST COMMUNITY HOSPITAL,800 W CENTRAL ROAD,ARLINGTON HEIGHTS,IL,COOK,60005,42.066604,-87.992951,"800 W CENTRAL ROAD ARLINGTON HEIGHTS, IL",(847) 618-1000,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Yes,4,1.4,A,5,1.75,19,2,0.3,Y,5,0.75,4,https://www.nch.org/
NORTHWESTERN CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,DUPAGE,60190,41.873765,-88.158095,"25 NORTH WINFIELD ROAD WINFIELD, IL",(630) 682-1600,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,A,5,1.75,7,4,0.6,Y,5,0.75,5,https://www.nm.org/locations/central-dupage-hospital
NORTHWESTERN DELNOR COMMUNITY HOSPITAL,300 RANDALL RD,GENEVA,IL,KANE,60134,41.886345,-88.340414,"300 RANDALL RD GENEVA, IL",(630) 208-3000,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,16,2,0.3,Y,5,0.75,5,https://www.nm.org/locations/delnor-hospital
NORTHWESTERN KISHWAUKEE COMMUNITY HOSPITAL,1 KISH HOSPITAL DRIVE,DEKALB,IL,DE KALB,60115,41.96188,-88.72226,"1 KISH HOSPITAL DRIVE DEKALB, IL",(815) 756-1521,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,3,1.05,B,4,1.4,0,0,0,N,0,0,3,https://www.nm.org/locations/kishwaukee-hospital
NORTHWESTERN LAKE FOREST HOSPITAL,1000 N WESTMORELAND ROAD,LAKE FOREST,IL,LAKE,60045,42.259134,-87.866327,"1000 N WESTMORELAND ROAD LAKE FOREST, IL",(847) 234-5600,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,Yes,4,1.4,B,4,1.4,16,2,0.3,Y,5,0.75,4,https://www.nm.org/locations/lake-forest-hospital
NORTHWESTERN MEDICINE MCHENRY HOSPITAL,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,MCHENRY,60050,42.3189,-88.279787,"4201 MEDICAL CENTER DRIVE MCHENRY, IL",(815) 344-5000,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,19,2,0.3,N,0,0,4,https://www.nm.org/locations/mchenry-hospital
NORTHWESTERN MEDICINE WOODSTOCK HOSPITAL,3701 DOTY ROAD,WOODSTOCK,IL,MCHENRY,60098,42.275688,-88.398938,"3701 DOTY ROAD WOODSTOCK, IL",(815) 788-5823,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,4,1.4,Hospital does not participate,FALSE,0,0,0,0,N,0,0,1,https://www.nm.org/locations/woodstock-hospital
NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,COOK,60611,41.894995,-87.621364,"251 E HURON ST CHICAGO, IL",(312) 926-2000,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,4,1.4,B,4,1.4,1,5,0.75,Y,5,0.75,4,https://www.nm.org/locations/northwestern-memorial-hospital
NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE,CHICAGO,IL,COOK,60622,41.900481,-87.699288,"1044 N FRANCISCO AVE CHICAGO, IL",(773) 292-8200,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,B,4,1.4,0,0,0,N,0,0,2,https://www.nahospital.org/
PALOS COMMUNITY HOSPITAL,12251 SOUTH 80TH AVENUE,PALOS HEIGHTS,IL,COOK,60463,41.668955,-87.815976,"12251 SOUTH 80TH AVENUE PALOS HEIGHTS, IL",(708) 923-4000,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,B,4,1.4,19,2,0.3,N,0,0,4,https://www.paloshealth.com/
AMITA HEALTH MERCY MEDICAL CENTER AURORA,1325 N HIGHLAND AVENUE,AURORA,IL,KANE,60506,41.785548,-88.328888,"1325 N HIGHLAND AVENUE AURORA, IL",(630) 859-2222,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,B,4,1.4,0,0,0,N,0,0,3,http://www.presencehealth.org/presence-mercy-medical-center-aurora
AMITA HEALTH RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,CHICAGO,IL,COOK,60631,41.988458,-87.81257,"7435 W TALCOTT AVENUE CHICAGO, IL",(773) 774-8000,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,4,1.4,A,5,1.75,0,0,0,N,0,0,3,http://www.presencehealth.org/presence-resurrection-medical-center-chicago
AMITA HEALTH SAINT FRANCIS HOSPITAL - EVANSTON,355 RIDGE AVE,EVANSTON,IL,COOK,60202,42.023951,-87.685159,"355 RIDGE AVE EVANSTON, IL",(847) 316-4000,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,B,4,1.4,0,0,0,Y,5,0.75,3,http://www.presencehealth.org/presence-saint-francis-hospital-evanston
AMITA HEALTH SAINT JOSEPH HOSPITAL - CHICAGO,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,COOK,60657,41.933928,-87.636418,"2900 NORTH LAKE SHORE DRIVE CHICAGO, IL",(773) 665-3000,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,4,1.4,A,5,1.75,0,0,0,N,0,0,3,http://www.presencehealth.org/presence-saint-joseph-hospital-chicago
AMITA HEALTH SAINT JOSEPH MEDICAL CENTER,333 N MADISON ST,JOLIET,IL,WILL,60435,41.528248,-88.134645,"333 N MADISON ST JOLIET, IL",(815) 725-7133,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,A,5,1.75,0,0,0,Y,5,0.75,3,http://www.presencehealth.org/presence-saint-joseph-medical-center-joliet
AMITA HEALTH SAINTS MARY AND ELIZABETH MEDICAL CENTER,2233 W DIVISION ST,CHICAGO,IL,COOK,60622,41.903104,-87.683213,"2233 W DIVISION ST CHICAGO, IL",(312) 770-2000,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Yes,3,1.05,A,5,1.75,0,0,0,Y,5,0.75,4,http://www.presencehealth.org/presence-saints-mary-and-elizabeth-medical-center-chicago
ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,COOK,60628,41.692562,-87.624734,"45 W 111TH STREET CHICAGO, IL",(773) 995-3000,Same as the national average,,,Results are not available for this reporting period.,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,,Results are not available for this reporting period.,Yes,1,0.35,Hospital does not participate,FALSE,0,0,0,0,N,0,0,0,http://www.roselandhospital.org/
RUSH COPLEY MEDICAL CENTER,2000 OGDEN AVENUE,AURORA,IL,KANE,60504,41.727722,-88.268415,"2000 OGDEN AVENUE AURORA, IL",(630) 978-6200,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,A,5,1.75,0,0,0,N,0,0,4,https://www.rushcopley.com/
RUSH OAK PARK HOSPITAL,520 S MAPLE AVE,OAK PARK,IL,COOK,60304,41.879026,-87.803818,"520 S MAPLE AVE OAK PARK, IL",(708) 383-9300,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,4,1.4,A,5,1.75,0,0,0,Y,5,0.75,4,https://www.roph.org/
RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,COOK,60612,41.875166,-87.66851,"1653 WEST CONGRESS PARKWAY CHICAGO, IL",(312) 942-5000,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,5,1.75,B,4,1.4,2,5,0.75,Y,5,0.75,5,https://www.rush.edu/
