Hospital_Name,Address,City,State,County,Zip,Lat,Long,Location,Phone,Hospital_Type,Hospital_Ownership,Emergency_Services,Meets_criteria_for_meaningful_use_of_EHRs,Hospital_overall_rating,Hospital_overall_rating_footnote,Mortality_national_comparison,Mortality_national_comparison_footnote,Safety_of_care_national_comparison,Safety_of_care_national_comparison_footnote,Readmission_national_comparison,Readmission_national_comparison_footnote,Patient_experience_national_comparison,Patient_experience_national_comparison_footnote,Effectiveness_of_care_national_comparison,Effectiveness_of_care_national_comparison_footnote,Timeliness_of_care_national_comparison,Timeliness_of_care_national_comparison_footnote,Efficient_use of_medical_imaging_national_comparison,Efficient_use_of_medical_imaging_national_comparison_footnote,Emergency_Room,Hospital_Compare_Star_Rating,Star_rating_weight_and_score,Leapfrog_Safety_Grade,Leapfrog_grade_conversion,Leapfrog_weight_and_score,US_News_and_World_Report_State_Ranking,US_News_ranking_conversion,US_News_weight_and_score,Magnet_Designation,Magnet_rating,Magnet_weight_and_score,Magnet_Designation_Year,Redesignation,Info,Total_composite_score
"AMITA HEALTH ADVENTIST MEDICAL CENTER, LA GRANGE",5101 S WILLOW SPRINGS RD,LA GRANGE,IL,COOK,60525,41.797382,-87.888407,"5101 S WILLOW SPRINGS RD LA GRANGE, IL",(708) 352-1200,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,5,,Above the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,0,0,0,N,0,0,,,1,3.5
"AMITA HEALTH ALEXIAN BROTHERS MEDICAL CENTER, ELK GROVE VILLAGE",800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,COOK,60007,42.003705,-88.014996,"800 W BIESTERFIELD RD ELK GROVE VILLAGE, IL",(847) 437-5500,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,5,1.75,B,4,1.4,25,1,0.15,N,0,0,,,1,3.3
AMITA HEALTH SAINT JOSEPH HOSPITAL - ELGIN,77 N AIRLITE STREET,ELGIN,IL,KANE,60123,42.036242,-88.327934,"77 N AIRLITE STREET ELGIN, IL",(847) 695-3200,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,,,1,2.8
AMITA HEALTH SANIT ALEXIUS MEDICAL CENTER,1555 N BARRINGTON RD,HOFFMAN ESTATES,IL,COOK,60194,42.052409,-88.144445,"1555 N BARRINGTON RD HOFFMAN ESTATES, IL",(847) 843-2000,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,5,1.75,B,4,1.4,0,0,0,N,0,0,,,1,3.15
ANN & ROBERT H LURIE CHILDREN'S HOSPITAL OF CHICAGO,"225 E CHICAGO AVE, BOX 140",CHICAGO,IL,COOK,60611,41.896746,-87.621906,"225 E CHICAGO AVE, BOX 140 CHICAGO, IL",(312) 227-4000,Childrens,Voluntary non-profit - Other,TRUE,TRUE,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Yes,,0,,FALSE,0,0,0,0,N,0,0,,,1,0
COMMUNITY FIRST MEDICAL CENTER,5645 W ADDISON STREET,CHICAGO,IL,COOK,60634,41.94585,-87.768287,"5645 W ADDISON STREET CHICAGO, IL",(773) 282-7000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,2,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,2,0.7,,FALSE,0,0,0,0,N,0,0,,,1,0.7
EDWARD HOSPITAL,801 SOUTH WASHINGTON,NAPERVILLE,IL,DUPAGE,60540,41.761426,-88.149239,"801 SOUTH WASHINGTON NAPERVILLE, IL",(630) 527-3000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,4,1.4,A,5,1.75,12,3,0.45,Y,5,0.75,2014,redesignation,1,4.35
ELMHURST MEMORIAL HOSPITAL,155 EAST BRUSH HILL ROAD,ELMHURST,IL,DUPAGE,60126,41.861684,-87.934295,"155 EAST BRUSH HILL ROAD ELMHURST, IL",(331) 221-0130,Acute Care Hospital,Proprietary,TRUE,TRUE,4,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,A,5,1.75,0,0,0,Y,5,0.75,2015,,1,3.9
FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,20201 S CRAWFORD AVENUE,OLYMPIA FIELDS,IL,COOK,60461,41.522571,-87.713245,"20201 S CRAWFORD AVENUE OLYMPIA FIELDS, IL",(708) 747-4000,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,,,1,1.4
HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,COOK,60629,41.770008,-87.691909,"2701 W 68TH STREET CHICAGO, IL",(773) 884-9000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,D,2,0.7,0,0,0,N,0,0,,,1,1.4
INGALLS MEMORIAL HOSPITAL,1 INGALLS DRIVE,HARVEY,IL,COOK,60426,41.606331,-87.659484,"1 INGALLS DRIVE HARVEY, IL",(708) 333-2300,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,4,1.4,B,4,1.4,0,0,0,N,0,0,,,1,2.8
JACKSON PARK HOSPITAL,7531 S STONY ISLAND AVE,CHICAGO,IL,COOK,60649,41.757332,-87.58571,"7531 S STONY ISLAND AVE CHICAGO, IL",(773) 947-7500,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,,,1,1.4
JOHN H STROGER JR COOK COUNTY HOSPITAL,1901 W HARRISON ST,CHICAGO,IL,COOK,60612,41.874041,-87.674311,"1901 W HARRISON ST CHICAGO, IL",(312) 864-6000,Acute Care Hospital,Government - Local,FALSE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,,,1,1.4
LAKE BEHAVIORAL HOSPITAL,2615 W WASHINGTON ST,WAUKEGAN,IL,LAKE,60085,42.359402,-87.866605,"2615 W WASHINGTON ST WAUKEGAN, IL",(847) 249-3900,Psychiatric Acute Care Hospital,Proprietary,TRUE,TRUE,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,,Results are not available for this reporting period.,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,,Results are not available for this reporting period.,Yes,,0,,FALSE,0,0,0,0,N,0,0,,,1,0
LARABIDA CHILDRENS HOSPITAL,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,COOK,60649,41.77659,-87.61555,"E 65TH ST AT LAKE MICHIGAN CHICAGO, IL",(773) 363-6700,Childrens,Voluntary non-profit - Private,FALSE,TRUE,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,No,,0,,FALSE,0,0,0,0,N,0,0,,,1,0
LITTLE COMPANY OF MARY HOSPITAL,2800 W 95TH ST,EVERGREEN PARK,IL,COOK,60805,41.720902,-87.691966,"2800 W 95TH ST EVERGREEN PARK, IL",(708) 422-6200,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,B,4,1.4,0,0,0,N,0,0,,,1,2.1
LORETTO HOSPITAL,645 SOUTH CENTRAL AVE,CHICAGO,IL,COOK,60644,41.872042,-87.764443,"645 SOUTH CENTRAL AVE CHICAGO, IL",(773) 626-4300,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,,Results are not available for this reporting period.,Same as the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Below the national average,,,Results are not available for this reporting period.,Yes,3,1.05,D,2,0.7,0,0,0,N,0,0,,,1,1.75
LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,COOK,60640,41.966521,-87.648898,"4646 N MARINE DRIVE CHICAGO, IL",(773) 878-8700,Acute Care Hospital,Proprietary,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,,,1,1.4
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,701 WEST NORTH AVE,MELROSE PARK,IL,COOK,60160,41.908342,-87.841101,"701 WEST NORTH AVE MELROSE PARK, IL",(708) 681-3200,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,,,1,2.8
LOYOLA UNIVERSITY MEDICAL CENTER,2160 S 1ST AVENUE,MAYWOOD,IL,COOK,60153,41.858732,-87.83321,"2160 S 1ST AVENUE MAYWOOD, IL",(708) 216-9000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,3,1.05,B,4,1.4,3,5,0.75,Y,5,0.75,2014,redesignation,1,3.95
MACNEAL  HOSPITAL,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,COOK,60402,41.832002,-87.792783,"3249 SOUTH OAK PARK AVENUE BERWYN, IL",(708) 783-9100,Acute Care Hospital,Proprietary,TRUE,TRUE,2,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,A,5,1.75,0,0,0,N,0,0,,,1,2.45
MERCY HARVARD HOSPITAL,901 S GRANT STREET,HARVARD,IL,MCHENRY,60033,42.425992,-88.607748,"901 S GRANT STREET HARVARD, IL",(815) 943-5431,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,Yes,3,1.05,,FALSE,0,0,0,0,Y,5,0.75,2014,,1,1.8
MERCY HOSPITAL AND MEDICAL CENTER,2525 S MICHIGAN AVE,CHICAGO,IL,COOK,60616,41.847053,-87.623583,"2525 S MICHIGAN AVE CHICAGO, IL",(312) 567-2000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,1,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,,,1,1.4
METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,CHICAGO,IL,COOK,60640,41.973262,-87.671141,"5025 N PAULINA STREET CHICAGO, IL",(773) 271-9040,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,,Results are not available for this reporting period.,Below the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,,Results are not available for this reporting period.,Yes,2,0.7,,FALSE,0,0,0,0,N,0,0,,,1,0.7
METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,COOK,60406,41.6586,-87.67809,"12935 S GREGORY BLUE ISLAND, IL",(708) 597-2000,Acute Care Hospital,Proprietary,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,C,3,1.05,0,0,0,N,0,0,,,1,1.75
MIDWESTERN REGION MED CENTER,2520 ELISHA AVENUE,ZION,IL,LAKE,60099,42.44897,-87.82684,"2520 ELISHA AVENUE ZION, IL",(847) 872-4561,Acute Care Hospital,Proprietary,TRUE,TRUE,5,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,,Results are not available for this reporting period.,Yes,5,1.75,,FALSE,0,0,0,0,N,0,0,,,1,1.75
MORRIS HOSPITAL & HEALTHCARE CENTERS,150 W HIGH ST,MORRIS,IL,GRUNDY,60450,41.368907,-88.426016,"150 W HIGH ST MORRIS, IL",(815) 942-2932,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,3,,Below the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,,,1,2.8
MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,COOK,60608,41.50497,-87.59399,"15TH STREET AT CALIFORNIA CHICAGO, IL",(773) 542-2000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,F,1,0.35,0,0,0,N,0,0,,,1,0.7
NORTHSHORE UNIVERSITY HEALTH SYSTEM,2650 RIDGE AVE,EVANSTON,IL,COOK,60201,42.0653,-87.683293,"2650 RIDGE AVE EVANSTON, IL",(847) 432-8000,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,5,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,A,5,1.75,7,4,0.6,Y,5,0.75,2015,,1,4.85
NORTHWEST COMMUNITY HOSPITAL,800 W CENTRAL ROAD,ARLINGTON HEIGHTS,IL,COOK,60005,42.066604,-87.992951,"800 W CENTRAL ROAD ARLINGTON HEIGHTS, IL",(847) 618-1000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Yes,4,1.4,B,4,1.4,19,2,0.3,Y,5,0.75,2015,redesignation,1,3.85
NORTHWESTERN CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,DUPAGE,60190,41.873765,-88.158095,"25 NORTH WINFIELD ROAD WINFIELD, IL",(630) 682-1600,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,A,5,1.75,7,4,0.6,Y,5,0.75,2015,redesignation,1,4.5
NORTHWESTERN DELNOR COMMUNITY HOSPITAL,300 RANDALL RD,GENEVA,IL,KANE,60134,41.886345,-88.340414,"300 RANDALL RD GENEVA, IL",(630) 208-3000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,16,2,0.3,Y,5,0.75,2018,redesignation,1,4.55
NORTHWESTERN KISHWAUKEE COMMUNITY HOSPITAL,1 KISH HOSPITAL DRIVE,DEKALB,IL,DE KALB,60115,41.96188,-88.72226,"1 KISH HOSPITAL DRIVE DEKALB, IL",(815) 756-1521,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,3,1.05,B,4,1.4,0,0,0,N,0,0,,,1,2.45
NORTHWESTERN LAKE FOREST HOSPITAL,1000 N WESTMORELAND ROAD,LAKE FOREST,IL,LAKE,60045,42.259134,-87.866327,"1000 N WESTMORELAND ROAD LAKE FOREST, IL",(847) 234-5600,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,4,,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,Yes,4,1.4,B,4,1.4,16,2,0.3,Y,5,0.75,2015,redesignation,1,3.85
NORTHWESTERN MEDICINE MCHENRY HOSPITAL,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,MCHENRY,60050,42.3189,-88.279787,"4201 MEDICAL CENTER DRIVE MCHENRY, IL",(815) 344-5000,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,19,2,0.3,N,0,0,,,1,3.8
NORTHWESTERN MEDICINE WOODSTOCK HOSPITAL,3701 DOTY ROAD,WOODSTOCK,IL,MCHENRY,60098,42.275688,-88.398938,"3701 DOTY ROAD WOODSTOCK, IL",(815) 788-5823,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,4,1.4,,FALSE,0,0,0,0,N,0,0,,,1,1.4
NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,IL,COOK,60611,41.894995,-87.621364,"251 E HURON ST CHICAGO, IL",(312) 926-2000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,4,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,4,1.4,A,5,1.75,1,5,0.75,Y,5,0.75,2015,redesignation,1,4.65
NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE,CHICAGO,IL,COOK,60622,41.900481,-87.699288,"1044 N FRANCISCO AVE CHICAGO, IL",(773) 292-8200,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,,,1,1.4
PALOS COMMUNITY HOSPITAL,12251 SOUTH 80TH AVENUE,PALOS HEIGHTS,IL,COOK,60463,41.668955,-87.815976,"12251 SOUTH 80TH AVENUE PALOS HEIGHTS, IL",(708) 923-4000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,B,4,1.4,19,2,0.3,N,0,0,,,1,3.45
